,SERPINA3,PMEL,DCT,IFITM1,APOD,A2M,IFI27,APOC2,RGS1,SPP1,CAPG,TM4SF1,TYR,CTSK,ANXA1,MIA,HSPA1A,CRYAB,GDF15,CAPN3,TSC22D3,FN1,DUSP1,HSPA1B,QPCT,APOE,EGR1,MT1X,S100A4,SERPINE2,NNMT,MLANA,FOS,CTSL1,MCAM,LHFPL3-AS1,APOC1,DDIT3,CRIP2,MT1E,TNFRSF12A,PRKCDBP,IER3,TMSB4X,S100A16,SELM,IGFBP7,LOXL4,NSG1,SLC20A1,MYC,CD74,BIRC7,SLC26A2,LOXL3,PLTP,RAB38,RCAN1,PLEKHB1,group
CY88_5_H07_S763_comb,0.0,10.956,7.1046,0.0,6.3755,5.3076,0.0,0.0,0.0,0.0,0.0,0.0,6.1337,8.7321,0.0,3.7343,0.44148000000000004,3.0179,5.1064,6.5638,0.0,3.4075,0.0,0.0,6.6878,2.847,2.5028,5.2076,0.0,6.4022,0.0,6.8614,6.2089,4.8874,6.3376,4.2481,0.0,0.0,0.8536,0.0,0.0,0.0,0.0,0.0,2.6289999999999996,0.0,0.0,2.5074,0.0,2.1894,0.0,2.7662,3.3653,1.6267,0.0,4.4266,3.9192,6.3641,0.0,1.0
CY88_3_F04_S640_comb,0.0,9.9852,7.0256,0.0,10.789000000000001,4.0377,0.0,0.0,0.0,0.0,0.0,0.0,7.0912,5.2818,0.0,3.2144,0.0,0.0,7.3728,6.2357,0.0,3.514,1.8639,0.0,7.8055,3.9647,7.1438,4.5031,0.0,6.5182,0.0,6.1727,8.301,4.1347,6.547999999999999,2.9482,0.0,0.0,2.1418,0.0,3.0502,1.3363,2.1590000000000003,0.0,4.88,4.3649,0.0,3.5954,0.0,3.3044,3.1212,2.3724,4.6654,2.0412,0.0,4.8702,2.656,3.4411,2.8947,1.0
CY88_5_G10_S754_comb,0.0,5.0839,0.0,0.0,9.8927,3.1,0.0,0.0,0.0,3.3041,0.0,0.0,6.8889,0.0,0.0,1.9756,0.61164,0.0,5.0063,7.1052,0.0,0.6210600000000001,0.0,0.0,6.5835,0.0,2.0847,0.0,0.0,6.3361,0.0,4.6925,7.0283,1.1223,4.1832,4.604,0.0,0.0,4.1608,0.0,0.0,4.8913,0.0,0.0,3.6276,2.8398,0.0,4.4666,0.0,0.0,2.8003,4.151,4.0635,2.5378,0.0,3.3839,5.5807,0.0,5.6169,1.0
CY88_3_E11_S635_comb,0.0,9.6716,6.9741,0.0,7.6916,2.803,0.0,0.0,0.0,0.0,0.0,0.0,6.2249,7.7299,0.0,4.9846,3.8283,0.0,4.2424,7.1939,0.0,1.1821,4.687,4.2208,6.7666,2.3682,4.5617,2.1027,0.0,5.727,0.0,7.135,3.8433,0.0,7.0539,0.0,0.0,3.9184,0.9222,0.0,2.9387,0.0,3.1528,2.2845,4.2895,1.1097,0.0,0.0,0.0,1.1871,4.4214,4.1873,1.9869999999999999,2.6859,0.0,0.0,5.0828,3.4143,0.0,1.0
CY88_5_F10_S742_comb,0.0,8.8863,0.74674,0.0,5.8312,3.6805,0.0,0.0,0.0,5.1109,0.0,0.0,7.725,7.4644,0.0,3.9119,0.0,3.0719,5.8779,5.6212,0.0,5.7738,0.0,0.0,8.0404,0.0,1.3074,0.0,0.0,8.035,0.0,4.6782,7.1058,0.0,6.8137,5.2902,0.0,0.0,6.1076,0.0,0.0,0.0,0.0,0.0,3.343,2.5702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57918,4.9601,5.2507,4.255,0.0,1.0
CY88_5_B09_S693_comb,0.0,8.8368,5.0368,0.0,10.309000000000001,5.0841,0.0,0.0,0.0,0.0,0.0,0.0,6.3937,5.1898,0.0,5.3914,4.967,0.0,4.6641,6.3387,0.0,0.73205,3.4038,4.1456,6.6661,4.748,4.3379,0.0,0.0,7.2671,0.0,6.5047,6.1308,3.7476,5.0228,2.0054,2.3471,0.0,4.6727,0.0,0.0,0.0,0.0,0.0,4.4974,0.0,0.0,5.4869,0.0,0.0,3.8086,2.5301,3.3202,0.63134,2.6371,2.2561,4.1866,4.2407,4.6326,1.0
CY88_3_G06_S654_comb,0.0,10.770999999999999,6.0422,0.0,8.3866,1.1985,0.0,0.0,0.0,6.641,0.0,0.0,5.9932,7.832999999999999,0.0,1.7557,0.0,0.0,5.3927,6.8711,0.0,2.8016,0.32769000000000004,0.0,7.1572,0.0,4.7397,0.0,0.0,6.8349,0.0,7.1411,6.0625,0.55778,5.6346,4.0024,0.0,0.69153,4.2593,0.0,0.0,0.0,0.0,3.7015,0.0,3.3369,0.0,0.0,2.5656,2.5348,4.3575,3.4731,0.50589,0.0,0.0,3.8003,5.457000000000001,4.5865,0.0,1.0
CY89NEG_E07_S55_comb,0.0,11.497,5.8831,4.5442,6.5118,2.8377,5.8611,1.8419999999999999,3.8228,0.0,7.3134,0.0,8.064,6.2813,4.5707,4.4404,5.5879,5.8847,7.1897,0.0,5.5485,4.919,3.747,5.1104,2.7461,5.4026,2.7047,4.1837,0.0,6.5377,0.0,7.2327,6.22,5.8054,5.3421,3.5599,0.0,3.5649,2.0813,2.4782,4.0012,0.0,4.6121,0.0,2.3138,0.0,0.0,0.0,4.689,4.441,0.0,0.0,0.0,0.051024,2.4463,3.6334,2.6526,5.4235,0.0,1.0
CY89CORE11_G02_S170_comb,0.0,11.087,6.9991,6.059,5.8209,0.0,0.0,2.4348,6.4381,0.0,4.4712,0.0,8.2663,6.9155,4.5044,6.4357,7.3173,3.5988,0.0,0.15186,2.4063,2.8811,4.0882,6.3228,0.0,5.4245,4.04,4.7312,0.0,5.891,0.0,7.4011,5.9568,2.1963,0.0,0.0,0.0,3.3879,3.7846,3.0942,4.1625,4.3263,0.0,0.0,0.0,0.0,0.0,0.0,3.7818,1.06,1.6012,0.0,0.9282799999999999,0.9811200000000001,3.2461,4.462,5.4085,0.0,0.0,1.0
CY89CORE11_A11_S107_comb,0.0,11.572000000000001,6.1721,4.6246,7.144,2.5375,4.8617,0.0,6.9558,4.3119,5.8845,0.0,9.3658,6.5874,5.9237,5.4466,4.5845,5.8366,0.0,2.2479,3.233,5.7528,0.0,0.0,4.7561,3.3252,2.6213,2.0555,0.0,7.7207,2.1365,7.2884,3.0277,0.68257,4.7512,1.7198,0.0,2.7082,4.4858,3.4804,0.0,0.0,2.9802,0.0,0.0,0.0,0.0,0.0,5.1514,1.2821,2.9061,0.0,0.0,0.15186,3.4632,4.2287,4.2482,3.8524,0.0,1.0
CY89CORE11_F05_S161_comb,0.0,9.9539,6.5616,6.8608,2.3488,0.42761000000000005,4.2665,0.0,7.6481,0.0,0.0,0.0,7.2656,5.4107,5.1719,4.6394,7.3418,5.1639,0.0,1.7044,0.0,2.6128,0.0,5.5459,0.0,3.9277,0.0,2.7924,0.91686,6.3728,0.0,7.0966,0.46258,0.45311999999999997,4.1247,0.5300699999999999,0.0,0.0,4.4271,4.7595,4.9885,2.4558,0.0,0.0,0.0,0.0,0.0,0.0,3.6532,4.6315,2.4065,0.0,0.0,1.5419999999999998,2.3576,1.0841,5.121,0.0,0.0,1.0
CY89NEG_C03_S27_comb,0.0,11.942,7.4156,0.0,6.4738,0.0,0.0,0.0,3.3124,5.3766,7.0219,0.0,8.4771,4.3656,0.0,0.0,5.4752,6.7252,8.5565,2.3665,2.3553,6.3203,2.9015,4.1983,0.0,5.6992,0.0,3.2289999999999996,0.0,5.9885,0.0,7.5416,4.3146,1.4854,5.6949,0.9022700000000001,3.3199,1.926,2.6551,4.519,3.2343,3.5058,1.9848,0.0,0.0,0.0,0.0,0.0,4.7008,1.8714,4.7647,0.0,0.0,0.31034,0.0,4.0995,4.7534,5.2681,0.0,1.0
CY89CORE11_B10_S118_comb,0.0,10.98,6.0704,0.0,8.1405,4.0247,5.3082,1.7790000000000001,0.37629,0.0,4.9327,0.0,6.6414,6.8293,5.34,4.7576,4.245,7.6242,0.0,2.6683,4.2895,6.5765,0.0,2.9657,4.4216,5.6172,0.17505,3.2662,0.0,7.507999999999999,1.3679,7.3317,0.0,0.0,3.0745,2.3502,0.0,0.0,0.0,0.94486,5.3652,1.797,5.8106,0.0,4.0162,0.0,0.0,0.15056,5.4286,2.9679,2.6276,0.0,0.0,0.90766,2.3199,0.29041999999999996,2.9754,3.2133,0.0,1.0
CY89NEG_B03_S15_comb,0.0,9.8759,6.3677,5.7424,3.9088,0.0,0.0,0.0,6.8275,0.0,4.5661,0.0,8.6409,6.9934,4.488,3.0206,3.6043,8.6668,0.0,0.6397,5.2288,2.667,0.0,0.0,0.0,3.9834,0.0,0.0,0.0,6.8238,0.0,7.7529,4.0569999999999995,0.0,3.3569999999999998,0.0,0.0,0.0,4.1495,2.4082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6432,3.2547,0.6350600000000001,0.0,0.0,0.056584,0.0,0.0,1.7128,0.0,0.0,1.0
CY89NEG_G01_S73_comb,0.0,10.612,7.2466,6.6964,0.0,0.0,2.4136,0.0,5.7866,0.0,3.5965,0.0,8.1982,7.9163,0.0,5.351,0.0,5.7005,0.0,6.3274,6.644,3.0663,0.0,0.42008,0.0,4.4069,0.18269000000000002,0.0,0.0,6.1487,0.0,7.7874,2.4772,0.47405,0.0,0.0,0.0,3.6863,3.1313,3.6432,0.0,2.406,0.0,0.0,0.0,0.0,0.0,0.0,5.5271,0.0,0.0,0.0,0.0,0.20163,0.0,3.4129,0.0,0.0,0.0,1.0
