,HLA-DRA,FOS,HLA-DPA1,DUSP1,GZMA,CCL4,SELL,CD69,NKG7,CST7,LTB,CD74,GZMK,CCL4L1,CCL4L2,CD8A,PRF1,KLRK1,TSC22D3,PIK3IP1,group
cy53-1-CD45-pos-2-F05-S1025-comb,6.8055,1.6475,0.0,0.0,0.0,0.0,7.6815,1.9184,0.0,0.0,0.0,8.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9527,1.0
cy72-CD45-pos-H12-S960-comb,8.4053,7.6877,6.4408,5.1808,3.3901,3.8388,5.1862,6.5224,0.0,3.3356,4.407,8.103,3.1678,0.0,0.0,4.5239,0.0,4.4102,8.0087,5.5071,1.0
cy74-CD45-pos-D09-S717-comb,8.309,6.6678,5.2732,5.4998,8.1193,10.126,0.0,0.0,7.8974,7.2378,0.0,8.9675,7.779,7.0597,7.0597,8.6352,5.7245,6.5594,6.8413,0.0,1.0
cy72-CD45-pos-D03-S903-comb,0.0,6.5775,0.0,7.228,0.0,0.0,6.9155,6.3474,0.0,0.0,4.2429,3.5405,0.0,0.0,0.0,6.2513,0.0,6.0195,7.5876,6.4483,1.0
cy58-1-CD45-pos-D10-S622-comb,3.658,8.1067,6.8359,8.2717,8.5023,9.4804,0.0,0.0,8.3294,8.5096,0.0,6.1184,7.5687,8.6315,8.6315,9.3966,8.0336,8.121,8.2788,4.6466,1.0
cy53-1-CD45-pos-2-A04-S964-comb,0.0,6.0733,6.0327,4.75,8.236,10.31,0.0,5.2007,9.9983,8.3708,0.0,5.8775,0.0,6.2658,6.2658,0.0,10.007,6.0244,0.0,0.0,1.0
cy72-CD45-pos-B03-S879-comb,0.0,7.2414,0.0,7.1827,0.0,0.0,5.599,6.7902,0.0,1.5395,5.1643,5.3955,0.0,0.0,0.0,0.0,0.0,0.0,7.877999999999999,6.9853,1.0
cy80-CD45-pos-PD1-pos-G05-S173-comb,5.0972,5.6854,5.1755,2.3635,8.0909,0.0,4.3201,4.9641,7.4119,4.2965,6.1253,8.1119,8.7469,0.0,0.0,8.0122,6.3957,6.2383,7.7033,2.1667,1.0
cy53-1-CD45-pos-1-H03-S87-comb,0.0,6.4455,0.0,5.8362,0.78576,1.5998,6.8399,6.4385,1.3718,0.7612899999999999,6.2493,6.2389,4.4833,0.0,0.0,0.0,0.31034,0.0,7.1332,5.75,1.0
cy72-CD45-pos-G10-S946-comb,0.0,7.6878,0.0,7.7849,0.0,0.0,7.7684,8.8798,0.0,0.0,0.0,1.7185,0.0,0.0,0.0,0.0,0.0,0.0,8.6023,7.792000000000001,1.0
