,PMEL,SERPINA3,TMSB4X,IFITM1,APOD,MIA,SPP1,DCT,IFI27,CD74,A2M,MT2A,DUSP1,ANXA1,APOC2,FOS,SERPINE2,IGFBP7,TM4SF1,CAPN3,group
cy79-p5-CD45-neg-PDL1-neg-H08-S860-comb,10.898,7.3489,3.4193,0.0,8.8429,9.4231,6.5352,0.0,8.1419,0.0,4.5801,9.635,4.7946,7.3519,5.5474,9.5509,8.4877,0.0,3.8987,8.2075,2.0
cy79-p4-CD45-neg-PDL1-pos-E07-S439-comb,9.2566,7.9049,0.0,0.0,9.7746,8.7814,3.9399,0.0,6.5537,5.7651,7.9024,6.5635,4.43,5.4294,4.8987,8.5623,9.2306,5.9755,6.2019,8.2471,2.0
cy79-p4-CD45-neg-PDL1-pos-A05-S389-comb,10.3,0.0,0.0,0.0,5.039,6.1389,5.0564,0.0,9.2963,0.0,3.406,7.1108,7.202999999999999,7.0278,5.4047,8.0552,6.393,3.8374,6.8598,7.2857,2.0
cy80-CD45-neg-C11-S899-comb,8.8021,7.8074,1.4436,6.9772,8.1578,6.5391,0.0,0.0,5.6992,2.2579,1.2172,8.6578,5.4131,6.1815,2.7504,5.8266,8.1406,3.8806,3.4435,5.5591,2.0
cy80-CD45-neg-C07-S895-comb,10.237,5.1947,6.1893,8.5845,8.4106,7.1370000000000005,0.0,0.0,7.0403,1.9982,1.9572,8.1979,0.0,6.865,6.4944,7.7397,7.841,3.4863,1.7575,6.5413,2.0
cy79-p5-CD45-neg-PDL1-pos-A08-S680-comb,10.249,7.815,4.7655,0.0,9.0032,7.9334,0.0,0.0,6.0094,0.0,7.4466,8.7695,0.0,6.4134,6.772,6.5669,9.6952,3.6653,5.9906,7.2248,2.0
cy79-p4-CD45-neg-PDL1-pos-B01-S397-comb,10.277000000000001,7.0181,1.8098,0.0,10.8,8.4446,3.9693,0.0,6.7229,0.64339,8.8552,10.065,5.7587,4.2289,8.1717,8.3391,8.8973,4.9012,3.0474,7.8769,2.0
cy79-p4-CD45-neg-PDL1-pos-G01-S457-comb,7.813,4.0327,3.9675,0.0,6.3816,7.6547,0.0,0.0,6.9319,8.8929,7.8093,10.369000000000002,1.8242,9.2073,1.4683,7.4578,10.23,4.44,4.4287,4.4179,2.0
cy79-p5-CD45-neg-PDL1-pos-F07-S739-comb,10.187000000000001,5.8847,0.0,0.0,9.4625,7.5145,7.1071,4.8580000000000005,7.7717,0.0,7.1681,9.3725,0.0,7.1595,6.1193,0.0,8.8936,4.2238,6.1236,7.0385,2.0
cy79-p4-CD45-neg-PDL1-pos-F08-S452-comb,9.5735,7.4623,0.0,0.0,7.2717,8.5238,0.0,0.0,8.0764,0.0,5.768,7.4235,0.0,7.8811,5.6043,3.513,9.2043,5.6964,4.5282,3.9704,2.0
cy79-p5-CD45-neg-PDL1-neg-F09-S837-comb,8.8577,8.8393,5.4778,0.0,10.61,8.0286,5.3215,0.0,8.5562,0.0,5.5111,9.6803,6.4997,7.5959,6.3456,8.9482,8.7029,0.0,7.2494,5.5715,2.0
cy81-Bulk-CD45-neg-E11-S155-comb,0.0,6.8909,0.0,7.9801,2.8098,4.8779,3.2644,0.0,0.0,0.0,5.1069,9.1547,8.3283,5.5305,0.0,7.7331,7.5732,3.0912,6.8339,0.0,2.0
cy80-CD45-neg-B02-S878-comb,8.7148,8.6884,3.9491,6.9923,9.4565,7.6095,0.0,1.5033,6.1322,1.2881,4.2019,7.4197,2.2919,4.1998,0.94935,4.3252,8.3567,5.545,4.0541,5.7746,2.0
cy79-p4-CD45-neg-PDL1-pos-E04-S436-comb,10.102,6.9662,3.0374,0.0,9.9849,9.0507,5.9116,0.0,7.939,0.0,7.1589,8.2016,0.0,6.5145,7.0098,4.1183,8.1531,6.341,5.3799,6.9787,2.0
cy79-p5-CD45-neg-PDL1-pos-E12-S732-comb,7.3507,7.7097,0.0,0.0,11.472999999999999,8.9186,6.9515,0.0,6.7151,3.4464,8.3785,8.2928,1.2166,0.0,6.4638,7.3965,9.0132,4.5471,7.4036,5.6921,2.0
cy80-CD45-neg-B12-S888-comb,10.379000000000001,4.6106,1.6457,7.4638,7.4861,7.1712,0.0,2.3068,7.3202,2.2132,2.1865,6.9194,3.5523,5.1507,3.748,6.9222,8.4726,3.8965,3.3080000000000003,6.5248,2.0
cy79-p4-CD45-neg-PDL1-neg-D10-S1102-comb,8.8797,4.4265,4.2765,0.0,3.4296,5.7865,5.767,0.0,0.0,0.0,5.982,9.8334,0.0,0.0,3.5139,5.8027,7.0173,4.9237,1.6494,6.2254,2.0
cy81-FNA-CD45-neg-C07-S991-comb,0.0,6.3602,0.0,5.8868,0.0,4.3211,5.3355,0.0,0.0,0.0,6.0906,8.3728,3.025,6.9718,0.0,4.4392,7.0083,0.0,3.5807,3.7581,2.0
cy79-p4-CD45-neg-PDL1-neg-G11-S1139-comb,8.8429,5.1202,5.4596,0.0,8.2098,8.9451,4.5549,0.0,2.3654,0.0,7.8072,9.3936,6.053999999999999,6.4474,6.3978,8.2565,8.6713,4.23,5.2077,6.9915,2.0
cy80-CD45-neg-B10-S886-comb,9.1387,6.0385,0.0,7.8608,8.7736,7.5073,0.0,0.0,7.1061,2.7476,2.8080000000000003,8.7382,0.0,5.9356,0.0,7.4839,8.354,4.05,3.6564,6.733,2.0
cy80-CD45-neg-A07-S871-comb,8.7873,5.6307,6.4328,5.6565,9.1332,8.6619,0.0,0.0,6.2673,1.6658,2.5617,7.0996,0.0,5.5707,1.7891,5.779,9.5761,0.0,4.0123,5.7896,2.0
cy79-p4-CD45-neg-PDL1-neg-B06-S1074-comb,10.133,9.3118,5.0373,0.0,10.044,8.2694,2.5051,1.0014,6.5356,6.2167,7.5822,10.113999999999999,2.9742,6.6208,6.857,5.1818,9.6639,2.3824,6.3623,7.7654,2.0
cy80-CD45-neg-E04-S916-comb,8.3945,3.2444,6.3058,5.0804,8.7156,6.037999999999999,0.0,0.0,0.0,4.8263,4.31,9.1525,2.9063,5.4935,5.4544,5.8722,7.4212,3.8714,3.1564,6.1673,2.0
cy79-p4-CD45-neg-PDL1-pos-B04-S400-comb,7.8686,4.0319,4.6823,0.0,9.9131,7.7199,6.5381,0.0,3.0519,3.2461,5.7673,8.9356,1.6654,5.2376,3.9535,8.4241,7.992999999999999,0.0,1.2073,8.2543,2.0
cy81-Bulk-CD45-neg-D05-S137-comb,0.0,7.9558,0.0,6.2164,7.3109,7.2714,6.5277,0.0,0.0,0.0,6.0994,10.222999999999999,8.6976,5.9096,0.0,7.5708,9.6437,0.0,4.704,0.0,2.0
cy82-CD45-pos-3-G06-S78-comb,0.0,10.66,6.166,0.0,7.8462,8.8036,6.6276,0.0,0.0,0.74157,5.9914,8.9418,8.3339,6.0137,0.0,8.4317,7.8997,0.0,2.1897,3.1047,2.0
cy80-CD45-neg-C01-S889-comb,9.7275,8.0052,3.2783,7.8164,10.99,8.3081,1.4952,0.0,5.8487,2.4691,7.5149,7.2698,4.809,4.3521,1.2963,6.9158,9.1533,4.146,0.0,6.2371,2.0
cy81-Bulk-CD45-neg-E10-S154-comb,0.0,3.8680000000000003,0.0,6.9186,1.5714,5.3325,0.78492,0.0,0.0,0.0,4.5209,8.8443,7.8803,5.7778,0.0,7.5721,5.7038,0.0,5.1959,0.0,2.0
cy81-Bulk-CD45-neg-H11-S191-comb,0.0,7.8434,0.0,5.4838,5.7589,6.1883,5.074,0.0,0.0,0.0,7.4777,9.3505,5.9328,7.2077,0.0,8.3003,8.9951,2.4751,6.529,0.0,2.0
cy79-p5-CD45-neg-PDL1-pos-H12-S768-comb,9.4804,8.0422,0.0,0.0,9.1285,7.1345,4.2722,0.0,7.0182,0.0,7.0454,9.0826,3.0439,5.4625,7.0882,8.5706,8.9044,0.0,0.0,6.4048,2.0
cy79-p4-CD45-neg-PDL1-neg-A04-S1060-comb,10.597999999999999,5.8764,0.0,0.0,7.3972,8.6009,4.9611,0.0,7.1055,3.832,5.9401,9.4945,4.0307,6.0498,8.2064,5.7652,8.4784,5.0422,4.1738,6.4489,2.0
cy79-p4-CD45-neg-PDL1-neg-C05-S1085-comb,9.7837,7.307,4.3580000000000005,0.0,10.674000000000001,7.9964,7.6368,0.0,5.7386,0.0,8.5337,9.8499,8.3716,4.8260000000000005,7.4824,8.601,9.0106,2.4287,6.0334,8.8351,2.0
cy81-Bulk-CD45-neg-D10-S142-comb,0.0,7.0839,0.0,6.2823,3.2196,6.2374,0.0,1.5548,0.0,0.0,4.8578,8.4759,6.4857,4.5868,0.0,7.1476,7.4502,3.7533,4.0953,3.9578,2.0
cy79-p4-CD45-neg-PDL1-neg-B05-S1073-comb,9.2677,7.5169,4.3372,0.0,10.835,9.696,5.2405,0.0,5.4856,4.6668,6.752000000000001,9.509,8.2757,6.9807,6.9185,9.3193,9.8337,0.0,2.3519,7.3322,2.0
cy79-p5-CD45-neg-PDL1-pos-D02-S710-comb,9.8443,8.7634,0.0,0.0,8.9685,7.9454,6.7988,0.0,5.7827,0.0,8.2505,9.5937,6.5912,4.2943,7.2083,9.9215,9.3154,5.3113,6.9382,6.8887,2.0
cy79-p4-CD45-neg-PDL1-neg-G09-S1137-comb,8.5255,7.9299,5.5269,0.0,10.041,8.9945,6.3727,0.0,5.2884,4.3606,6.4735,10.084,0.0,6.0256,6.9413,7.0118,9.1958,3.0897,5.3454,6.1449,2.0
cy81-Bulk-CD45-neg-F02-S158-comb,0.0,6.5028,0.0,7.4723,2.1843,6.622000000000001,6.7665,0.0,0.0,0.0,5.7779,8.8311,6.2068,6.5422,0.0,6.5647,6.3797,0.0,6.4777,0.0,2.0
cy79-p5-CD45-neg-PDL1-neg-C12-S804-comb,10.138,9.855,2.7386,0.0,10.175,8.796,6.2462,0.0,6.9122,0.0,7.8061,9.224,0.0,5.3797,7.4242,0.0,10.647,4.8885,6.7738,7.4897,2.0
cy79-p4-CD45-neg-PDL1-neg-G05-S1133-comb,8.9933,7.5296,0.0,0.0,9.8659,8.9643,5.7423,0.0,4.8966,0.0,8.6748,9.7741,5.4918,5.9278,6.2496,8.5673,9.5741,4.8699,3.6523,7.5741,2.0
cy79-p4-CD45-neg-PDL1-neg-E03-S1107-comb,7.4606,8.7883,0.0,0.0,10.249,9.2936,3.7609,0.0,6.5366,4.185,8.2409,9.7361,0.0,5.904,6.5123,8.0336,9.9104,3.7396,5.0489,6.6272,2.0
cy81-FNA-CD45-neg-G07-S1039-comb,0.0,6.2191,0.0,7.7081,5.4538,6.0835,4.0536,0.0,0.0,1.6763,7.9371,8.6267,6.3116,4.9199,0.0,0.0,8.8634,0.0,5.4363,0.0,2.0
cy80-CD45-neg-A12-S876-comb,9.7459,8.4597,3.8083,7.4391,9.5681,7.752999999999999,0.0,0.0,6.4585,0.0,6.1189,6.9845,0.0,5.9958,2.6765,6.8488,8.5816,3.515,0.0,7.3649,2.0
cy81-FNA-CD45-neg-G05-S1037-comb,0.0,7.3709,0.0,6.5432,5.5164,7.2443,3.3135,0.0,0.0,0.0,6.8341,7.4343,4.231,3.9656,0.0,7.4875,8.7318,0.0,6.8643,0.0,2.0
cy79-p5-CD45-neg-PDL1-neg-G02-S842-comb,4.6816,3.7022,2.244,0.0,6.8319,6.5948,0.0,0.0,6.4077,3.5699,6.0056,9.4015,2.7746,7.8387,0.0,8.4479,9.9637,3.984,6.954,0.0,2.0
cy81-Bulk-CD45-neg-H03-S183-comb,0.0,8.1579,0.0,8.8837,5.8623,7.6448,6.7723,0.0,0.0,0.0,7.5248,8.829,8.68,5.6169,0.0,8.8791,8.5892,0.0,7.361000000000001,0.0,2.0
cy79-p5-CD45-neg-PDL1-neg-A10-S778-comb,3.4958,8.0473,4.2327,0.0,11.68,9.9913,7.3388,0.0,6.84,1.683,5.949,9.9574,5.0354,4.3167,5.1596,9.8964,8.6506,0.0,6.9577,7.156000000000001,2.0
cy79-p4-CD45-neg-PDL1-pos-E06-S438-comb,9.9465,8.0386,0.0,0.0,9.1054,8.5088,3.3105,0.0,7.6589,4.0072,7.3629,8.9779,3.7667,6.3657,7.1562,8.2496,8.4527,4.5537,4.6977,6.8104,2.0
cy79-p5-CD45-neg-PDL1-neg-H12-S864-comb,9.2471,7.2145,0.0,0.0,9.5487,8.4907,5.0398,0.0,6.1531,2.8504,6.2033,9.46,1.5499,5.7217,6.3224,8.3206,8.8442,2.3106,5.2637,6.8333,2.0
cy79-p4-CD45-neg-PDL1-pos-F05-S449-comb,10.144,7.8579,7.6827,3.4681,8.2677,7.1151,4.546,0.0,6.6821,7.7721,6.6801,9.5362,4.0923,4.9525,7.0373,7.2286,8.6598,4.7938,4.5831,6.8702,2.0
cy79-p5-CD45-neg-PDL1-pos-H02-S758-comb,10.129,7.0019,0.0,0.0,9.7736,8.3175,4.7136,1.2302,7.2004,7.6604,8.4428,8.7721,4.0342,5.6767,7.7352,8.0296,8.3008,0.0,6.3728,6.2864,2.0
cy79-p5-CD45-neg-PDL1-pos-G10-S754-comb,8.5439,7.3019,0.0,0.0,11.417,9.4972,6.9979,0.0,6.686,0.0,8.6499,8.0267,5.3405,5.1397,6.9416,8.87,8.523,0.0,5.1764,8.0556,2.0
cy79-p4-CD45-neg-PDL1-pos-E09-S441-comb,8.3974,8.7509,2.9389,0.0,10.222000000000001,9.6904,4.6056,0.0,6.2501,7.3311,7.5426,10.055,0.0,4.888999999999999,6.5918,6.3942,9.887,0.0,2.1180000000000003,6.9922,2.0
cy79-p4-CD45-neg-PDL1-pos-D06-S426-comb,9.3265,9.0107,3.0263,0.0,10.502,8.4207,6.9149,0.0,6.791,0.0,9.1144,8.4949,0.0,5.9365,5.5641,6.9798,10.385,6.4434,5.6979999999999995,5.3355,2.0
cy79-p4-CD45-neg-PDL1-pos-C07-S415-comb,8.5715,9.3229,4.9471,0.0,11.229000000000001,9.1317,4.2886,0.0,7.1006,0.0,8.8266,10.003,5.7606,6.9461,6.9298,7.4974,10.042,6.1333,2.7657,7.4839,2.0
cy79-p5-CD45-neg-PDL1-neg-E03-S819-comb,8.6386,7.276,0.0,0.0,2.4594,7.6053,0.0,0.0,6.7087,0.0,5.9441,8.3798,6.4068,5.3634,6.4717,7.7546,9.3422,0.0,4.1145,8.1855,2.0
cy79-p5-CD45-neg-PDL1-pos-F06-S738-comb,9.7719,7.5709,0.0,0.0,9.8282,8.5587,5.8781,0.0,8.5898,0.0,6.8443,8.8992,6.1639,5.0977,3.8023,9.556000000000001,8.8153,3.6804,7.5822,7.0648,2.0
cy79-p4-CD45-neg-PDL1-pos-C09-S417-comb,10.11,7.9906,5.3011,0.0,9.8354,8.2323,6.3947,0.0,6.5805,0.0,9.4545,8.6567,0.0,5.83,5.5121,6.2613,10.245999999999999,0.9568,5.2749,7.2022,2.0
cy79-p5-CD45-neg-PDL1-neg-H05-S857-comb,10.037,4.7531,3.0197,0.0,7.2663,5.5321,7.5413,1.4694,2.9683,0.0,5.2772,8.2722,0.0,4.235,2.8119,9.4735,9.1288,3.9942,3.4245,8.2186,2.0
cy79-p4-CD45-neg-PDL1-pos-E11-S443-comb,8.1384,6.3509,0.0,0.0,10.275,9.2647,5.7122,0.0,7.1416,0.0,8.8027,9.3402,7.0498,5.1066,7.3578,9.373,9.1579,4.6685,3.4685,6.7389,2.0
cy79-p5-CD45-neg-PDL1-neg-A03-S771-comb,10.058,8.4916,4.5977,0.0,10.211,9.5504,7.7781,1.3363,6.2078,4.1725,7.691,7.3288,1.4568,6.7352,7.0913,6.1515,9.4152,5.8812,5.7536,8.1564,2.0
cy80-CD45-neg-G06-S942-comb,8.9938,0.0,4.1746,7.2954,6.5138,6.975,0.0,1.7111,6.4918,2.4117,0.0,7.0886,4.9846,6.2276,0.0,6.0883,7.6921,3.5484,0.0,5.5677,2.0
cy79-p5-CD45-neg-PDL1-neg-E06-S822-comb,7.4612,4.3746,0.0,0.0,10.51,7.0251,0.0,0.0,4.343999999999999,0.0,7.4775,8.8433,3.7616,4.9833,4.5919,9.4473,9.7491,5.4081,1.3813,8.4509,2.0
cy79-p5-CD45-neg-PDL1-pos-E02-S722-comb,9.7534,7.5886,3.9417,0.0,6.5488,7.827999999999999,3.3971,0.0,6.2192,4.0515,6.0585,9.5515,0.0,7.0248,6.2502,9.0782,8.3607,3.7224,0.0,8.1975,2.0
cy82-CD45-pos-3-E02-S50-comb,0.0,9.8202,5.1639,0.0,7.496,10.099,7.5238,0.0,0.0,0.0,4.0283,10.052,5.3441,3.8484,0.0,4.6933,6.0726,0.0,0.0,0.0,2.0
cy80-CD45-neg-G09-S945-comb,9.5982,6.2537,4.6505,8.0369,9.6754,7.5432,0.0,4.4439,7.4723,5.218,3.7111,8.3902,5.2281,5.1728,3.3559,7.1087,7.412000000000001,5.6035,0.0,5.7839,2.0
cy79-p4-CD45-neg-PDL1-neg-F11-S1127-comb,10.082,8.3174,0.0,0.0,8.9899,8.8206,4.0502,0.0,5.8409,0.0,6.8602,8.9826,0.65718,4.9208,6.1731,5.8505,9.3008,3.8931,5.7794,7.8251,2.0
cy79-p5-CD45-neg-PDL1-neg-D07-S811-comb,8.506,8.6182,0.0,0.0,10.427,9.8948,7.9003,0.0,6.0298,6.5532,10.12,8.548,7.6483,6.3385,5.5788,9.3827,9.997,4.5567,0.0,8.1542,2.0
cy82-CD45-pos-3-G12-S84-comb,0.0,10.163,7.507999999999999,4.4076,7.3387,9.5432,7.2209,0.0,0.0,1.2732,6.4639,8.8148,7.4204,5.1366,0.0,7.1239,8.3979,0.0,1.0517,3.6608,2.0
cy79-p5-CD45-neg-PDL1-pos-D03-S711-comb,10.088,0.78409,3.7172,0.0,8.2261,7.1457,6.2437,0.0,8.0501,0.0,5.8032,7.6286,0.0,7.8108,7.0291,5.367000000000001,6.3987,3.7585,4.5845,8.4854,2.0
cy79-p5-CD45-neg-PDL1-neg-B11-S791-comb,2.229,7.1799,3.4572,0.0,3.0876,6.6327,0.0,0.0,7.4334,7.3025,1.0759,6.5685,0.0,8.5757,0.0,5.2496,9.3044,0.0,5.181,1.6727,2.0
cy79-p5-CD45-neg-PDL1-pos-E07-S727-comb,10.243,7.3804,1.6933,0.0,8.8941,8.2794,7.1955,0.61447,7.9235,0.0,5.4670000000000005,4.9486,3.8435,4.9836,3.8198,7.0325,8.8993,4.5017,6.247000000000001,7.6387,2.0
cy82-CD45-pos-1-G08-S560-comb,0.0,7.9477,4.8112,0.75275,7.335,8.6624,0.89375,0.0,0.0,0.0,5.6661,8.5796,0.0,5.9017,0.0,6.1112,7.5842,0.0,3.3347,0.0,2.0
cy81-FNA-CD45-neg-B07-S979-comb,0.0,7.822,0.0,8.3252,2.9542,6.0363,2.1629,0.0,0.0,0.0,5.9618,9.2897,5.7451,4.4792,0.0,4.7275,7.4074,1.7895,4.8368,1.0531,2.0
cy79-p5-CD45-neg-PDL1-pos-C12-S708-comb,8.9302,7.0561,3.122,0.0,8.8048,7.7227,0.0,0.0,6.0748,0.0,3.8232,9.2704,0.0,4.4355,7.5235,7.8782,9.0825,5.7344,4.8028,7.6902,2.0
cy81-Bulk-CD45-neg-H08-S188-comb,0.0,5.0291,0.0,5.7468,2.5447,5.6813,0.0,0.0,0.0,0.0,3.1994,9.1477,4.3296,4.1209,0.0,4.6715,2.7392,0.9107299999999999,0.8914200000000001,0.5340600000000001,2.0
cy79-p4-CD45-neg-PDL1-neg-B01-S1069-comb,10.432,7.7308,0.0,0.0,10.226,8.592,5.7236,0.0,6.231,0.0,7.6754,9.3515,4.5264,6.3063,0.0,8.9025,9.6217,5.275,3.6686,6.7129,2.0
cy79-p5-CD45-neg-PDL1-pos-H07-S763-comb,9.0327,6.3939,0.0,0.0,9.8979,8.1154,0.0,0.0,5.0992,0.0,8.2187,7.8906,1.3846,6.438,7.4645,6.2253,8.4406,5.0873,6.3362,8.7456,2.0
cy80-CD45-neg-F11-S935-comb,9.0053,7.2774,2.4257,6.4637,8.3085,6.2219,0.0,2.0398,4.7076,1.5361,2.9055,6.5889,5.1452,0.0,2.2228,7.4234,8.4377,3.4627,5.0883,6.5389,2.0
cy79-p4-CD45-neg-PDL1-pos-B02-S398-comb,10.579,6.5438,3.2995,1.3369,9.5921,9.331,6.8192,0.0,4.1688,2.0638,9.152000000000001,9.2283,1.3248,7.1878,5.4739,1.9317,10.185,5.2175,0.0,6.1205,2.0
cy79-p4-CD45-neg-PDL1-pos-E03-S435-comb,10.337,8.2306,1.8086,0.0,9.507,8.5388,7.6825,3.5699,6.0415,2.782,8.7161,8.388,0.0,6.7451,6.8427,6.0760000000000005,9.0763,5.6439,6.6954,5.6825,2.0
cy81-Bulk-CD45-neg-C01-S121-comb,0.0,7.982,0.0,7.7979,2.7645,6.0779,3.9638,2.0233,0.0,0.0,5.5824,9.2569,7.4497,6.318,0.0,8.1875,7.5129,0.0,5.2527,0.0,2.0
cy80-CD45-neg-E09-S921-comb,7.1087,7.0948,4.0795,6.4696,9.0772,4.8438,0.0,0.0,4.9732,0.0,0.0,7.5916,4.1483,5.2659,3.8328,5.7993,9.1386,3.1598,4.9754,5.8129,2.0
cy82-CD45-pos-3-A10-S10-comb,0.0,9.5162,4.1582,0.0,7.371,9.1462,8.1637,0.0,0.0,0.0,6.2547,9.8051,6.8438,3.8178,0.0,6.2345,8.2763,0.0,3.7039,0.0,2.0
cy80-CD45-neg-G08-S944-comb,10.665999999999999,6.3543,2.0208,6.3902,8.9394,7.4683,0.0,1.9369999999999998,6.6915,0.0,0.0,7.7169,5.9283,5.9106,1.8282,6.8568,7.7825,4.1586,1.5675,6.1196,2.0
cy79-p4-CD45-neg-PDL1-neg-E05-S1109-comb,10.997,6.3958,0.0,0.0,9.2024,7.8203,5.9762,0.0,5.4312,0.0,8.5314,8.6244,0.0,6.1103,5.8239,5.7212,9.2596,5.997000000000001,5.3867,6.8664,2.0
cy81-Bulk-CD45-neg-A02-S98-comb,0.0,5.0375,0.0,6.982,5.1629,6.2425,5.455,0.0,0.0,0.0,6.5826,10.084,4.5854,4.6642,0.0,6.928999999999999,7.8515,0.0,5.4618,0.0,2.0
cy81-Bulk-CD45-neg-E12-S156-comb,0.0,5.6802,0.0,7.874,3.9419,0.0,5.9065,0.0,0.0,0.0,4.7981,9.1123,6.7905,3.6424,0.0,7.8354,7.7699,0.0,6.711,0.0,2.0
cy79-p4-CD45-neg-PDL1-pos-A09-S393-comb,7.9670000000000005,8.0483,0.0,0.0,11.059000000000001,9.6834,7.5291,0.0,7.4897,0.0,7.9588,10.007,0.0,6.8293,6.2991,7.6389,9.9326,3.1033,2.9243,7.0785,2.0
cy79-p4-CD45-neg-PDL1-neg-F06-S1122-comb,8.6422,8.6064,0.0,0.0,9.4767,9.7486,7.0587,0.0,7.2151,6.1802,8.794,7.8145,0.0,7.0401,6.6097,5.5392,11.311,4.3916,0.0,6.1811,2.0
cy79-p4-CD45-neg-PDL1-neg-D02-S1094-comb,10.834000000000001,5.8225,0.0,0.0,7.4844,6.7311,6.2338,0.0,4.6236,1.0587,7.6177,10.151,3.2710000000000004,5.9599,7.0847,7.745,8.8549,4.9742,0.0,7.3852,2.0
cy82-CD45-pos-3-C01-S25-comb,0.0,9.4783,5.9111,0.0,8.8787,9.3553,3.3864,0.0,0.0,0.0,4.4614,10.284,5.6802,5.311,2.8141,5.9064,5.5054,0.0,0.0,0.0,2.0
cy81-FNA-CD45-neg-C06-S990-comb,0.0,4.9234,0.0,6.568,5.3505,4.8009,1.969,0.0,0.0,0.0,6.5673,10.249,6.4832,4.7905,0.0,5.6661,7.5014,0.87184,7.0649,0.0,2.0
cy81-FNA-CD45-neg-H03-S1047-comb,0.0,4.9995,0.0,6.8426,0.0,0.0,0.0,0.0,0.0,0.0,5.8181,7.2349,3.6976,0.0,0.0,0.0,8.1763,0.0,3.9544,0.0,2.0
cy79-p5-CD45-neg-PDL1-neg-G01-S841-comb,5.9099,7.2736,5.0253,0.0,5.7697,5.9802,4.88,0.0,7.8002,0.0,3.795,9.0959,0.0,6.7263,7.48,1.5563,6.3725,5.189,0.0,9.327,2.0
cy79-p5-CD45-neg-PDL1-pos-B05-S689-comb,9.8274,4.3151,4.1641,0.0,10.332,8.5088,7.2764,0.0,6.3735,0.0,6.7276,8.7301,6.7018,6.1899,3.9451,8.2053,9.3552,4.9156,0.0,6.9096,2.0
cy79-p5-CD45-neg-PDL1-pos-C07-S703-comb,9.3712,0.0,0.0,0.0,7.3866,7.4631,1.886,0.0,7.0383,6.747999999999999,6.0717,8.6743,0.0,4.128,7.1319,3.0988,6.3301,3.8323,5.6422,6.8999,2.0
cy79-p4-CD45-neg-PDL1-pos-C01-S409-comb,8.6572,8.5946,0.0,0.0,11.745999999999999,10.341,7.0545,0.0,6.9537,0.0,9.2774,9.8806,6.8584,7.7149,8.0534,7.5367,10.16,0.0,5.7203,6.7495,2.0
cy79-p4-CD45-neg-PDL1-pos-D10-S430-comb,9.3416,7.9345,0.0,0.0,9.2983,8.0068,6.8593,0.0,5.6516,4.6908,8.1551,9.8392,6.4607,2.4,4.848,9.14,9.565,5.3118,6.8389999999999995,7.3003,2.0
cy81-Bulk-CD45-neg-E07-S151-comb,0.0,8.1839,0.0,8.4124,4.8103,6.3386,3.6344,0.79161,0.0,0.0,5.9512,9.4104,8.0454,5.6736,0.0,8.1883,7.5378,2.0339,5.8847,0.0,2.0
cy53-1-CD45-neg-C06-S318-comb,0.0,6.3609,6.4903,0.0,9.3455,7.9781,0.0,0.0,0.0,0.0,0.0,9.0149,0.8820600000000001,4.2256,0.0,3.1488,7.6311,0.0,0.0,0.0,2.0
cy82-CD45-pos-2-H12-S576-comb,0.0,8.7155,8.8267,6.3733,9.3942,8.8833,5.9474,0.0,0.0,7.9524,5.1995,9.2261,7.0609,5.5075,4.2638,7.4564,6.0343,5.834,0.0,0.0,2.0
cy53-1-CD45-neg-E04-S340-comb,0.0,6.8672,6.8541,0.0,8.0806,3.6616,0.0,0.0,7.0042,5.4086,2.2657,8.1984,1.715,0.0,0.0,2.3959,7.4069,0.0,0.0,0.0,2.0
cy82-CD45-pos-2-D11-S527-comb,0.0,8.3746,5.0135,0.0,7.2634,8.9496,7.2537,0.0,0.0,0.0,5.1531,9.299,4.9874,5.2727,2.2615,5.5155,4.7521,0.0,1.8371,3.1077,2.0
cy53-1-CD45-neg-B02-S302-comb,0.0,3.5328,6.4277,2.4016,7.5704,8.0936,0.0,0.0,3.9532,8.0078,0.0,10.084,0.0,0.0,0.0,0.0,8.6033,0.0,2.5729,0.0,2.0
cy82-CD45-pos-2-B03-S495-comb,0.0,10.163,3.2544,0.0,7.611000000000001,8.3272,8.0418,0.0,0.0,0.0,6.0096,9.3111,4.0269,2.3411,0.0,2.818,7.2097,1.6781,2.6367,0.0,2.0
cy53-1-CD45-neg-E12-S348-comb,0.0,1.7075,8.4244,0.0,10.312999999999999,9.5907,6.2118,0.0,5.7095,5.1336,2.6079,10.193,0.0,0.0,0.0,3.9686,10.44,2.112,5.5076,0.0,2.0
cy53-1-CD45-neg-H12-S384-comb,0.0,5.2772,8.4909,6.5876,6.3561,6.2102,2.6832,0.0,5.7917,3.7768,4.0212,8.9841,0.0,4.9993,0.0,5.9865,8.2374,4.0598,3.4730000000000003,0.0,2.0
cy82-CD45-pos-2-E07-S535-comb,0.0,8.7207,6.5264,3.7957,6.6252,8.3888,6.5253,0.0,0.0,0.0,4.7755,8.5257,8.6005,6.7469,0.0,6.8951,8.505,0.0,2.5358,0.0,2.0
cy53-1-CD45-neg-D06-S330-comb,0.0,0.0,9.0461,0.0,5.9625,0.0,0.0,0.0,8.9626,2.0881,0.0,8.7922,0.0,7.3914,0.0,0.0,6.6064,0.0,1.9411,0.0,2.0
