,PMEL,SERPINA3,TMSB4X,IFITM1,APOD,MIA,SPP1,DCT,IFI27,CD74,A2M,MT2A,DUSP1,ANXA1,APOC2,FOS,SERPINE2,IGFBP7,TM4SF1,CAPN3,group
cy80-CD45-neg-D07-S907-comb,9.6106,7.0606,0.0,7.5974,6.8445,5.6862,0.0,0.0,6.7358,5.7111,0.0,7.6954,6.4663,5.3137,2.9319,7.7384,6.5038,3.7244,2.6512,5.7408,2.0
cy79-p5-CD45-neg-PDL1-neg-H07-S859-comb,11.455,0.0,0.0,0.0,5.6867,7.4838,6.4028,0.0,7.9848,0.0,5.7195,8.4367,2.4257,5.6996,3.5223,8.005,7.0819,0.0,4.3009,7.2607,2.0
cy79-p5-CD45-pos-PD1-pos-E02-S626-comb,10.187000000000001,6.9325,0.0,0.0,6.2499,5.995,4.2008,0.0,7.5524,0.0,7.3685,9.5032,4.7974,9.1211,5.3915,7.8237,9.0035,4.7037,5.0625,7.7868,2.0
cy80-CD45-neg-A03-S867-comb,9.6464,8.2627,5.6914,7.361000000000001,9.9413,7.6666,0.0,0.0,5.1978,0.0,3.9507,6.2996,2.2854,7.2564,0.0,5.4301,9.6049,3.8429,0.0,7.0728,2.0
cy79-p5-CD45-neg-PDL1-neg-G09-S849-comb,9.2151,9.43,0.0,0.0,10.539000000000001,9.3661,1.6434,0.0,8.4771,0.0,7.5342,7.1687,6.2406,6.502000000000001,6.9987,9.776,9.6219,4.3024,7.2663,7.9129,2.0
cy79-p5-CD45-neg-PDL1-neg-C09-S801-comb,8.8204,8.4183,4.5619,0.0,10.877,9.7203,0.0,0.0,6.4537,0.0,4.3022,10.985,0.0,7.499,7.1142,4.9585,9.3844,5.6432,8.0376,7.1095,2.0
cy80-CD45-neg-H09-S957-comb,9.9014,8.3076,0.0,7.8832,9.2393,6.7159,1.5651,3.2597,3.5364,2.0489,5.1434,7.0747,2.9611,4.7998,1.7325,6.5335,8.3363,4.9404,0.0,4.9214,2.0
cy80-CD45-neg-H02-S950-comb,8.9589,5.7473,6.2992,7.0067,7.8442,6.8442,0.0,0.8883,6.0302,6.0718,5.7097,9.1347,2.7723,8.5956,3.6884,5.1136,10.118,2.7866,5.9841,0.0,2.0
cy79-p5-CD45-neg-PDL1-neg-G03-S843-comb,9.7827,0.0,3.745,0.0,8.9432,8.8154,3.6042,0.0,8.3531,3.5158,4.5384,8.3409,3.9566,3.7086,8.4995,4.1355,6.4689,0.0,0.0,0.0,2.0
cy79-p4-CD45-neg-PDL1-pos-D12-S432-comb,9.2624,7.906000000000001,0.0,0.0,9.3672,9.2932,7.4727,0.0,5.9523,0.0,8.4261,9.155,6.1944,2.9662,5.1201,8.6684,10.347999999999999,0.0,0.0,4.1953,2.0
cy81-Bulk-CD45-neg-C08-S128-comb,0.0,8.5858,0.0,8.3499,3.8801,4.4365,7.6741,0.0,0.0,0.0,6.4678,9.7726,8.5072,5.6111,0.0,6.5605,8.4074,3.2082,8.1561,0.0,2.0
cy79-p4-CD45-neg-PDL1-pos-A08-S392-comb,9.6488,0.0,5.9367,0.0,6.1735,8.7184,0.42975,0.0,7.5637,10.039,6.9353,9.7183,5.8931,7.1312,5.4365,9.0526,10.845999999999998,4.0505,6.0063,0.0,2.0
cy80-CD45-neg-E01-S913-comb,9.9177,8.4124,0.0,6.629,10.09,7.4768,0.0,0.0,4.287,3.0036,2.3805,7.8701,5.9397,6.6259,0.0,3.3781,9.9724,3.508,0.0,3.2052,2.0
cy81-Bulk-CD45-neg-C04-S124-comb,0.0,6.7211,0.0,8.657,4.7215,4.0612,4.1656,0.0,0.0,0.0,5.8432,7.4444,6.2386,6.3142,0.0,0.0,8.1165,0.0,0.0,0.0,2.0
cy79-p4-CD45-neg-PDL1-pos-F11-S455-comb,9.4025,8.2505,4.0016,0.0,9.4436,9.0557,6.4225,0.0,6.2174,6.2951,8.4695,8.6548,6.489,6.1573,7.1928,8.7893,9.2381,4.8093,4.4251,7.8609,2.0
cy82-CD45-pos-1-H05-S569-comb,0.0,10.201,4.5569999999999995,0.0,6.6713,7.7968,7.9373,0.0,0.0,0.0,5.5788,9.7359,6.314,6.1814,0.0,5.5569,6.852,0.0,4.2013,0.0,2.0
cy80-CD45-neg-H03-S951-comb,9.6984,5.5838,0.0,7.1808,7.0711,6.0796,0.0,0.0,5.5148,0.0,1.8311,6.3665,4.4946,4.4564,3.5013,6.6858,8.4583,2.8683,2.7444,6.7675,2.0
cy81-Bulk-CD45-neg-B03-S111-comb,0.0,6.3105,1.7727,5.2036,4.7458,7.574,4.9774,0.19660999999999998,0.0,0.0,6.1215,10.049,6.6899,6.0375,0.0,7.7032,8.7934,1.5205,5.2746,4.3264,2.0
cy81-Bulk-CD45-neg-E08-S152-comb,0.0,6.9195,0.0,4.9064,5.0928,5.7972,0.0,1.6253,0.0,0.0,5.7038,9.0699,7.5920000000000005,5.7813,0.0,8.9081,8.1619,0.0,6.3883,0.0,2.0
cy79-p4-CD45-neg-PDL1-neg-D06-S1098-comb,11.035,6.6514,3.8137,0.0,9.6798,8.3456,5.6435,0.0,6.7674,0.0,8.0175,8.9026,4.8866,5.7847,7.0438,8.2465,9.6285,3.0829,0.0,7.6926,2.0
cy79-p4-CD45-neg-PDL1-neg-B09-S1077-comb,10.357000000000001,7.742999999999999,7.4208,0.0,10.004,8.6078,5.8674,0.0,5.6444,8.7944,7.8155,7.9465,7.0307,5.468,6.8578,7.7619,8.7912,4.2233,0.96791,5.6242,2.0
cy79-p4-CD45-neg-PDL1-pos-B10-S406-comb,10.384,7.8388,3.1245,0.0,9.0535,8.4214,5.2767,0.0,5.5996,4.5366,6.9325,10.093,7.2591,6.9102,8.5734,9.1518,8.88,4.4039,7.0467,7.8956,2.0
cy80-CD45-neg-D10-S910-comb,8.5121,5.6608,3.6342,6.5185,8.1018,7.5968,0.0,0.0,4.1238,0.0,1.24,8.1701,0.0,0.0,0.0,0.0,9.1227,1.992,2.2848,3.1460000000000004,2.0
cy79-p5-CD45-neg-PDL1-pos-F02-S734-comb,7.8811,6.979,4.9575,0.0,8.386000000000001,8.8362,1.6074,0.0,7.7877,5.2551,7.7343,9.2682,7.6902,8.4968,7.1627,8.45,9.6568,3.4302,6.7821,7.6719,2.0
cy79-p5-CD45-neg-PDL1-neg-G07-S847-comb,6.0765,6.2,0.0,0.0,10.444,9.1287,6.1629,0.0,7.3931,0.0,5.0352,9.9306,7.3543,4.5854,5.3748,9.8231,6.8453,0.0,6.072,6.8865,2.0
cy79-p4-CD45-neg-PDL1-neg-H03-S1143-comb,7.9249,2.116,4.9499,0.0,8.667,7.8077,0.0,0.0,5.4633,4.5617,5.2622,10.15,8.5104,5.1926,6.5717,7.7535,7.6824,0.0,0.0,7.1425,2.0
cy79-p4-CD45-neg-PDL1-neg-H10-S1150-comb,10.43,5.9576,0.0,0.0,8.3694,8.0526,3.5628,0.0,5.4175,0.0,6.2548,9.5395,2.9627,4.6034,7.5082,7.6306,8.0611,2.8612,4.823,7.8728,2.0
cy79-p4-CD45-neg-PDL1-pos-D02-S422-comb,9.7524,8.7957,4.0492,0.0,9.174,7.4414,4.6306,0.0,5.706,0.0,8.6435,9.7839,6.7972,6.9801,7.801,9.5266,9.4357,5.4354,5.9314,6.0637,2.0
cy79-p4-CD45-neg-PDL1-pos-A11-S395-comb,11.354000000000001,0.0,4.1011,0.0,7.7528,7.5546,4.5736,0.0,8.4157,6.4154,8.2898,8.5236,0.0,6.4068,7.2003,7.434,6.8706,0.0,5.5167,7.9829,2.0
cy79-p4-CD45-neg-PDL1-neg-G07-S1135-comb,8.6552,6.3841,7.4467,4.5857,8.9963,6.0744,6.4677,0.0,7.2733,2.8041,7.9895,7.0211,6.3913,4.8474,5.5291,7.4118,9.2541,0.0,3.8727,4.993,2.0
cy79-p4-CD45-neg-PDL1-pos-C10-S418-comb,7.6862,5.5565,4.4328,0.0,10.512,9.0261,5.9318,0.0,7.1348,3.2046,8.5393,9.5494,6.9146,6.1532,7.3108,8.658999999999999,8.8821,3.6832,3.036,6.1029,2.0
cy79-p4-CD45-neg-PDL1-pos-E02-S434-comb,10.442,5.402,1.3511,0.0,10.424000000000001,9.1758,5.9661,0.0,6.834,2.6157,8.4788,10.074,0.0,5.5942,7.1799,5.456,10.15,5.3949,5.5055,7.4244,2.0
cy79-p4-CD45-neg-PDL1-pos-F09-S453-comb,10.409,7.611000000000001,0.0,0.0,9.9263,8.6281,7.6286,0.0,5.7571,0.0,9.0833,8.7696,0.0,4.6087,5.8837,5.8258,10.6,5.8096,5.9638,3.8376,2.0
cy80-CD45-neg-D09-S909-comb,7.8004,4.8721,3.4359,8.6832,7.2757,6.8987,0.0,0.0,7.3324,2.7761,0.0,8.162,3.1177,6.6417,3.2157,4.5901,8.1019,6.0275,4.8822,5.0308,2.0
cy79-p4-CD45-neg-PDL1-neg-C11-S1091-comb,10.7,6.8915,3.8735,0.0,8.4345,8.7841,5.0998,0.0,7.2589999999999995,6.3376,8.6616,8.1438,6.1214,6.5264,6.7836,7.697,9.8001,3.9942,5.2018,8.2799,2.0
cy79-p5-CD45-neg-PDL1-pos-B04-S688-comb,7.3186,3.2772,4.6773,0.0,8.7168,9.5956,5.3806,0.0,4.6282,7.8981,5.8051,7.6801,4.5504,7.0117,7.0429,6.4597,8.7823,0.0,5.2341,6.1177,2.0
cy81-Bulk-CD45-neg-F05-S161-comb,0.0,6.0663,0.0,7.2839,0.0,4.7886,3.6658,0.0,0.0,0.0,7.106,10.265999999999998,7.9379,0.0,0.0,5.3512,7.6628,0.0,6.7931,0.0,2.0
cy79-p5-CD45-neg-PDL1-pos-E06-S726-comb,6.3389999999999995,8.4764,3.483,0.0,9.267000000000001,10.318,8.3408,0.0,6.3387,6.9939,5.6193,9.6143,0.0,6.1559,6.9525,9.2148,8.0974,2.455,4.4802,6.016,2.0
cy81-FNA-CD45-neg-G03-S1035-comb,0.0,5.9808,0.0,7.7039,0.0,4.9205,1.254,0.0,0.0,0.0,5.997999999999999,9.4116,0.0,4.1263,0.0,3.5074,6.7224,0.0,4.7206,0.0,2.0
cy79-p5-CD45-neg-PDL1-neg-F11-S839-comb,0.0,11.784,0.0,0.0,9.6752,9.3372,11.225,0.0,6.2647,7.5843,8.3866,9.9365,8.331,7.9793,5.4226,9.9019,9.5127,2.0580000000000003,6.41,4.8561,2.0
cy79-p5-CD45-neg-PDL1-neg-F02-S830-comb,0.0,7.1623,3.1478,0.0,9.948,8.0579,4.7751,0.0,0.0,0.0,7.0085,10.564,0.0,7.1171,3.2934,2.5046,8.2098,0.0,7.3989,0.0,2.0
cy81-FNA-CD45-neg-G09-S1041-comb,0.0,3.6113,0.0,7.8020000000000005,1.146,2.5308,6.4949,0.0,0.0,0.0,6.1506,9.7707,8.6423,3.2639,0.0,6.6007,9.6776,4.0163,4.7778,0.0,2.0
cy79-p4-CD45-neg-PDL1-pos-G03-S459-comb,10.794,7.4617,2.0325,0.0,8.4241,9.3141,5.6084,0.0,7.5283,3.9042,7.7358,9.3555,3.7689999999999997,6.8182,6.6003,7.6249,8.7552,4.9178,1.827,7.6329,2.0
cy79-p5-CD45-neg-PDL1-neg-A12-S780-comb,10.156,8.8711,5.0298,0.0,9.5584,9.2823,4.8603,0.0,6.5212,0.0,8.3974,9.7397,0.0,3.7547,7.1926,7.3172,9.9206,6.5273,4.022,7.6727,2.0
cy79-p4-CD45-neg-PDL1-neg-A08-S1064-comb,11.087,8.0458,0.0,0.0,10.031,8.2351,4.5023,0.0,4.5854,5.5092,7.9727,6.0162,0.0,7.2013,6.8831,5.7172,9.3813,5.0708,6.1165,7.4633,2.0
cy80-CD45-neg-D11-S911-comb,9.3233,3.8517,2.6606,4.8991,5.4093,5.0297,0.0,4.1315,4.3018,4.0855,4.0484,6.5021,0.58111,3.2922,2.8057,2.6105,7.8212,6.6866,3.9438,6.4733,2.0
cy82-CD45-neg-2-H12-S288-comb,0.0,9.3927,4.6713,4.4613,9.6919,8.1577,7.8577,0.0,0.0,0.0,5.8919,9.0681,5.3018,5.5801,0.0,6.1878,7.212999999999999,3.7715,3.8745,0.0,2.0
cy79-p4-CD45-neg-PDL1-neg-E01-S1105-comb,9.7347,6.8648,0.0,0.0,9.8714,9.196,5.3796,0.0,5.5758,0.0,9.0256,8.7484,3.8505,7.7349,8.026,10.185,9.2179,4.1477,6.9074,7.056,2.0
cy79-p4-CD45-neg-PDL1-neg-B03-S1071-comb,11.418,0.0,0.0,0.0,3.8586,0.0,0.0,0.0,7.653,0.0,4.4919,7.3861,3.5706,5.1521,5.7436,8.1305,5.7518,4.5097,4.0934,7.7789,2.0
cy79-p5-CD45-neg-PDL1-neg-A11-S779-comb,10.924000000000001,0.0,2.3431,0.0,6.9268,7.3516,7.2791,0.0,5.6909,0.0,6.8618,9.2899,4.6331,5.7614,6.9075,8.0159,7.5698,2.3488,5.4264,7.6946,2.0
cy79-p4-CD45-neg-PDL1-neg-D04-S1096-comb,10.585999999999999,6.6921,3.5232,0.0,8.9609,9.1526,7.3056,0.0,6.7175,5.6147,6.6206,9.0769,0.0,5.763999999999999,5.1972,7.6255,8.5964,4.7569,4.2658,7.1355,2.0
cy80-CD45-neg-E06-S918-comb,8.6299,7.3176,0.0,0.0,7.6022,6.6977,0.0,0.0,4.3059,0.0,0.0,7.8959,4.724,5.5431,5.0628,7.0656,8.4106,5.311,5.9717,5.1207,2.0
cy79-p5-CD45-neg-PDL1-pos-H03-S759-comb,9.5904,3.6694,3.4818,0.0,8.3428,9.4505,5.7781,0.0,6.4313,3.1387,7.3633,6.9925,4.7459,6.79,5.6492,5.8029,9.0941,6.0795,5.0483,8.7229,2.0
cy79-p5-CD45-neg-PDL1-neg-A07-S775-comb,7.7596,6.377999999999999,0.0,0.0,6.0181,7.8273,0.0,0.0,8.7294,0.0,4.5089,9.8987,0.0,8.3862,5.5472,0.0,6.6024,0.0,5.8189,9.2766,2.0
cy79-p4-CD45-neg-PDL1-pos-C05-S413-comb,7.8666,6.709,0.0,0.0,9.2703,7.505,5.5443,0.0,7.0161,0.0,9.295,10.654000000000002,6.001,9.4826,5.8732,7.6495,8.4276,2.4839,4.8932,5.2198,2.0
cy79-p4-CD45-neg-PDL1-pos-D08-S428-comb,9.582,6.2475,0.0,0.0,9.8083,8.4504,4.7499,0.0,7.3338,5.5135,6.952999999999999,10.520999999999999,7.0033,7.0604,8.3182,8.7371,9.0429,5.3413,4.3938,7.3314,2.0
cy79-p5-CD45-neg-PDL1-pos-H11-S767-comb,10.232000000000001,9.8095,0.0,0.0,10.627,9.8769,6.2227,0.0,7.7763,4.57,7.7871,9.8188,0.0,7.4873,6.8892,7.8204,10.564,4.1204,7.2596,5.5097,2.0
cy80-CD45-neg-B04-S880-comb,10.132,0.0,2.3632,7.0045,5.4206,5.7816,0.0,2.7702,5.7428,0.74588,1.5185,4.947,3.8399,5.0891,3.1373,6.648,6.5467,4.5225,0.0,7.2725,2.0
cy79-p4-CD45-neg-PDL1-neg-B10-S1078-comb,10.231,8.3643,0.0,0.0,8.4874,7.2177,5.2211,0.0,4.9069,0.0,8.9062,9.6376,0.0,6.6934,6.5458,6.5963,9.1968,4.1407,3.8406,2.8879,2.0
cy81-FNA-CD45-neg-F12-S1032-comb,1.8651,7.2285,0.0,7.186,5.1172,6.7512,6.2715,3.1808,0.0,0.0,6.3574,8.795,2.6622,4.6374,0.0,5.4746,8.467,0.0,5.1144,0.0,2.0
cy79-p4-CD45-neg-PDL1-neg-F02-S1118-comb,10.683,6.7891,0.0,0.0,6.2368,7.3155,5.9834,0.0,6.9925,3.4967,8.0469,9.4888,5.848,7.6139,6.7263,8.2097,8.4615,5.6164,4.0109,8.3678,2.0
cy79-p5-CD45-neg-PDL1-pos-G03-S747-comb,5.6931,10.4,1.9404,0.0,8.7805,8.9874,4.2516,0.0,6.3671,0.0,7.0784,8.2705,8.6339,5.7477,0.0,8.9799,9.5277,1.2922,6.1137,6.1985,2.0
cy79-p4-CD45-neg-PDL1-pos-A12-S396-comb,9.4901,7.0838,0.0,0.0,10.207,8.8822,0.0,0.0,5.7415,3.6299,7.5791,9.3004,0.0,8.1618,6.7833,7.5579,9.8574,0.0,6.1958,7.0519,2.0
cy79-p5-CD45-neg-PDL1-pos-H10-S766-comb,7.7929,6.7318,0.0,0.0,9.8385,9.7757,0.0,0.0,7.3056,7.1418,7.9939,7.6802,5.6081,6.3976,4.7472,8.2057,10.686,0.0,6.7332,7.4048,2.0
cy80-CD45-neg-D01-S901-comb,7.5798,0.0,0.0,6.2781,6.5479,7.3119,0.0,0.0,6.8663,0.0,2.9696,7.5955,6.5993,4.917,5.5,8.4444,7.6233,3.9989,0.91456,5.6901,2.0
cy80-CD45-neg-C02-S890-comb,10.290999999999999,4.0875,0.0,8.8117,7.2891,6.4593,0.0,2.4919,7.2581,3.8085,0.99059,7.1688,4.0769,3.8217,2.7075,6.5687,5.6662,2.1154,0.0,6.097,2.0
cy80-CD45-neg-E10-S922-comb,9.1592,4.258,0.0,5.5537,7.3291,0.0,0.0,3.7181,5.725,0.0,0.0,8.5873,4.8516,0.0,0.0,6.8834,7.8865,0.0,0.0,5.955,2.0
cy79-p4-CD45-neg-PDL1-neg-H04-S1144-comb,10.787,0.0,3.5222,0.0,7.2253,6.4712,4.316,0.0,5.2962,0.0,6.801,4.6094,0.0,4.7842,5.3286,7.8969,7.5067,0.0,0.0,7.0319,2.0
