,RPL32,NDUFA12,SAT1,DBI,NDUFB2,SLIRP,PRDX3,ABRACL,MRPL51,PSMB6,TIMM8B,PSMA4,DAD1,UQCR10,HSPE1,GTF3C6,COX5B,C14orf2,MRPS18C,DYNLL1,group
NBMpool11H4,7.455715187999999,1.893898934,3.4049605919999997,0.847693707,2.762123634,2.381801096,1.697673199,0.9392058390000001,1.587012294,8.174543711,1.333696828,2.526508798,2.346009423,6.52536478,1.90564907,1.415355056,2.6868976360000003,7.916611297,1.706283149,1.9352716380000001,1.0
NBMpool22H5,7.565806822000001,1.926366131,3.0859975619999997,2.211371245,1.6270114480000002,2.544315695,1.9511261569999998,1.8169630730000002,1.930930178,8.117180835,1.855192855,1.262802842,2.114878711,6.640602887999999,1.989343708,1.301215164,2.336129665,7.935933574,2.134897026,0.477101239,1.0
NBMpool19H6,7.267801395,0.86659286,0.317131282,7.36378961,7.36827431,6.900526745,6.311232552999999,7.279841691000001,4.119928494,7.266996952,7.098513789,1.716184292,0.7669920379999999,7.081407295,5.056928774,7.063989822000001,7.223080055,0.48022528200000003,0.7215785109999999,1.10908393,1.0
NBM_NCE9,7.380651255,1.5787246480000001,1.186116812,1.043430169,7.168129325,6.647395373999999,6.705621422999999,6.276263972000001,7.879681337,8.478487534,1.7268162530000002,0.826897166,7.723427036,7.000948482999999,0.0,0.620287049,6.708870565,1.127244655,7.0105761,6.749985065,1.0
NBM_NCG8,0.0,7.00764922,0.444088796,0.0,6.82468757,0.9154119629999999,5.73012209,7.018291156,1.02201219,0.53456775,6.834221058,7.81253914,0.6226548439999999,6.830314167999999,0.0,1.065201243,7.0269079560000005,1.046260664,0.0,0.700376022,1.0
NBM_NCB8,6.368221935,1.445391778,2.0423084,0.734684463,7.662300415,6.781795691,1.891316155,1.064726894,1.74799926,7.46561529,0.994878033,2.080826823,1.494083221,1.0126085790000001,3.189187128,0.0,2.354974389,6.15556793,1.311587085,0.0,1.0
NBM_NCF9,7.678151074,7.439356234,1.340708203,0.706407488,8.050808892000001,7.628208738,2.465275225,7.283911322000001,6.796043993,0.63749299,6.67176862,0.5089492529999999,1.156904613,6.409042324,0.0,6.141716927999999,7.629298792,2.214506497,2.269339858,1.132880735,1.0
NBM_NCH8,7.410562947000001,7.007310049,6.556981554,6.594273137999999,0.0,1.11581772,6.318307117000001,1.590253195,0.0,0.677133065,0.0,1.47661228,1.214047522,1.030032061,6.24896591,0.6250538760000001,6.745744612,1.261427586,0.0,0.8712628720000001,1.0
NBM_NCG10,7.166152365,1.6294725069999998,1.342190259,7.076080928,1.904872533,0.0,1.820588115,1.224501124,7.063881682000001,5.642481728,0.0,0.6050375170000001,2.114025614,1.464267875,6.641129811,1.4363690390000001,7.941996197000001,5.251913824,0.0,2.421389996,1.0
NBM_NCH9,0.0,0.0,0.0,7.516884384,6.640663285,0.0,1.90838898,0.0,0.0,1.629621934,0.0,2.3181465830000003,7.014336543,0.0,2.674610177,0.8003256559999999,7.025031037000001,1.0248713729999999,6.89003174,1.086146182,1.0
NBM_NCD8,0.0,6.4263335470000005,5.6660923620000005,1.051572259,5.875413406,1.4879105080000001,6.230000583,1.2372532379999999,1.110354617,6.466286595,6.449804267,5.501931957,1.090925835,5.648335841000001,0.0,0.0,5.18383174,7.202705924,1.202276724,6.86269058,1.0
NBM_NCE10,7.146190262,6.7810270720000005,0.8802052659999999,6.12206629,6.871533032,6.148441186,0.39501597899999996,1.0292271259999999,0.752666672,6.835751747000001,6.136663996,0.8086788970000001,1.451922238,5.282275065,1.164088854,0.955540603,6.321403066,0.0,6.283116005,2.419897368,1.0
NBM_NCB10,0.0,0.0,1.174253458,0.965821258,6.55537826,6.396887105,6.20332949,1.901975882,1.0218549590000001,7.012351982999999,6.457518417,2.067139606,0.0,1.288870899,0.0,0.818591408,6.035975271,7.1680136910000005,1.42749861,1.108074644,1.0
NBM_NCC10,6.356974984,5.723781282999999,2.639814728,0.5471362329999999,5.845332926,6.817808076,6.428567452999999,0.0,5.981037187999999,5.9415776010000005,6.561029593,0.843365322,6.281381886,6.216820697,6.333939452,6.587571114,7.479579648,6.786102499,5.631508822000001,5.992487122999999,1.0
