,MGP,SCGB2A2,PIP,MUCL1,GSTP1,HLA-DRA,CD74,APOD,TFF3,IFITM2,LDHB,SLPI,PPP1R1B,RN7SL56P,PPP1R14C,S100P,TFF1,AGR2,SEPP1,TM4SF1,group
BC04_61,0.0,7.1723324779999995,0.0,4.567260613,6.237445332,0.357674444,3.9369107210000003,0.631271777,6.493405822000001,3.0558861960000003,3.501947285,0.0,5.888323787999999,0.0,0.0,5.738441517,0.0,5.836855429,0.0,6.659268278,0.0
BC04_63,1.853168097,0.0,0.0,2.485739636,2.655352412,2.223541886,3.619261387,0.0,7.488629217000001,1.7298840659999999,4.6929978960000005,3.5484672999999995,6.219356805,0.0,0.0,6.485230477999999,0.982078472,5.89280376,2.186051277,6.699315594,0.0
BC04_64,2.5664866369999997,2.768204124,0.0,5.428204627,2.5870118730000002,6.852707577,6.353987359,0.0,8.230619837,2.96217549,7.169881052999999,6.064529117999999,6.688628649,4.904237203,4.86182588,6.498899429,0.0,6.167264887000001,0.0,6.174410909,0.0
BC04_69,0.0,0.0,0.0,3.0315819260000003,1.128171091,0.896088025,3.0184717610000003,0.0,8.200590247000001,3.085572978,5.671293717999999,6.231032477,5.495116942999999,4.319752215,0.0,4.609560534,0.0,4.446174453999999,0.0,6.236839147,0.0
BC04_71,4.393708139,2.582486978,0.0,4.622322245,0.0,5.5849614,4.277360322,0.0,6.777692151,4.408911963,5.737249487000001,5.856417721000001,5.826648864,4.734969624,4.178685711,4.372355015,0.0,6.422434946,0.867100488,7.431690594,0.0
BC04_77,0.0,4.529692045,0.0,3.68210657,4.446174453999999,9.604203099,8.645690183,0.0,6.867620548,4.089834407,5.542713474,0.0,5.579012587999999,0.0,0.378436436,6.144914982,3.38269391,6.200833665,0.0,6.228589896,0.0
BC04_78,6.581290797,0.0,0.0,5.390759802000001,0.0,7.229643107,7.383784467999999,3.909219078,6.466797699,3.865350597,5.3004650589999995,6.049473988,6.888062646,0.0,0.0,6.956497822999999,2.719319793,6.683385977,0.0,6.236252166,0.0
BC04_82,5.330009813,0.0,0.0,5.003677814,3.806217947,5.834489047999999,5.849728157,0.0,5.949209234,1.750937475,5.419693937999999,5.1864356339999995,6.6655435810000006,3.39718936,4.446877607,5.837147187,1.3937663759999999,6.131335179,4.069026753999999,8.212855853999999,0.0
BC04_85,4.064400686,7.72694022,0.0,5.302757495,5.379943435,6.748923661,6.400739057000001,0.0,6.695514575,0.896088025,6.4908600960000005,5.7462351389999995,7.430303919,4.573782713,0.587786665,7.101519452000001,1.8099267730000002,6.691922439,0.0,8.431027275,0.0
BC04_86,0.0,0.0,0.0,0.0,5.663029922000001,1.808288771,3.348499593,0.0,7.825105449,4.036185648,5.710162082,0.0,4.690797272,0.0,5.378652338999999,6.524751027000001,4.5415912039999995,7.446870939,0.0,4.741622308999999,0.0
BC04_88,0.0,0.0,0.0,5.025523907,5.937113952000001,6.770548569,4.95152203,0.0,6.672070918999999,2.721295428,3.428812549,6.422418699,6.41723869,2.459588842,0.270027137,4.745192964,0.0,6.3254694570000005,1.244154594,6.894497785,0.0
BC04_90,1.386294361,0.0,0.0,1.880990603,5.22224593,6.753694595,5.46582135,2.500615943,6.42656936,3.6963514689999997,6.698847418,0.0,4.648133885,0.0,5.369986653,5.71732371,4.772716457,6.224914801000001,0.0,5.287761853,0.0
BC04_91,5.968963282000001,0.0,0.0,0.0,0.0,6.578292418999999,5.368263117,0.0,6.843419404,0.832909123,4.108576144,6.068703327000001,5.523099575,2.7311154739999997,4.118223836,0.0,0.0,1.808288771,0.0,5.069847154,0.0
BC04_92,0.0,0.0,0.0,0.0,4.582924577,4.87756094,4.93820796,0.0,5.543065842000001,4.615021502,3.977061402,0.0,5.3709635570000005,0.0,2.634762405,4.281377227,0.0,4.784988613,1.391281903,5.069658635,0.0
BC04_93,0.0,0.0,0.0,3.2999026639999998,6.462452067,6.188038225,5.980353042000001,0.0,8.729620327000001,0.0,5.739632127999999,5.7828092820000006,6.248255618,1.964311234,1.266947603,6.776780615,3.7369550769999997,7.559293697,3.910822285,6.417516289,0.0
BC07_01,1.5282278569999999,6.044483851,0.0,8.318439768,7.691716182,5.471808382000001,1.4469189830000002,5.091231695,4.339640918,0.0,0.737164066,7.729634227000001,5.464509541,1.444563269,0.0,0.0,0.0,6.331110314,2.742773637,3.3968546319999997,0.0
BC07_06,2.63977136,4.972933427,6.005786497000001,1.589235205,6.67523036,1.948763218,5.151266424,0.0,0.0,5.232764998,0.0,5.077670695,0.0,6.976123956,0.0,6.472516296,0.896088025,5.564558721,0.0,7.828926084,0.0
BC07_08,1.519513205,1.1184149159999999,2.1961128480000003,4.868687631,7.0614973039999995,2.450142657,4.027492255,0.8109302159999999,2.909629575,2.952302716,0.0,1.410986974,4.572646993999999,6.922466536,0.0,7.205130222999999,0.0,3.902578547,0.23901689999999998,2.021547563,0.0
BC07_12,0.604315967,8.508099973,0.0,4.8416642219999995,6.794228174,2.423031246,2.876385516,4.210199815,5.634861029,0.0,2.16791019,5.911094703,5.216402073,7.185750586,0.0,5.658819976,3.935934825,6.215547657,1.366091654,8.805453097000001,0.0
BC07_15,2.348514025,5.068023311,2.4309783080000003,7.757119574,7.05380178,6.33021989,5.893686324,3.5219389989999996,0.0,3.415100287,1.01884732,5.022761474,4.181897459,6.5815125420000005,0.0,6.16318848,0.0,7.069899638,0.0,8.025643913,0.0
BC07_18,1.115141591,3.762594492,0.0,8.311454787999999,6.511997898,2.4932054530000003,4.004237488999999,1.691939134,0.0,0.0,1.91839212,7.4150245870000004,1.821318271,4.354783898,4.4339072569999995,0.0,0.0,5.225424041,4.2622572530000005,6.023447592999999,0.0
BC07_20,2.795450391,0.0,1.824549292,6.023907536,5.983104701,4.282206298999999,4.822778446,4.391853195,0.0,2.071913275,0.0,7.776358837999999,0.854415328,7.507168537,0.8109302159999999,4.271234729,0.0,2.540814282,0.0,5.961726729,0.0
BC07_24,1.684545385,5.267394134,0.0,5.795723347999999,6.272575074,2.817203515,3.11927646,4.246063717,0.0,0.0,0.0,3.84181511,1.373715579,6.652075622999999,0.0,0.0,0.0,2.046401688,0.0,7.445400032999999,0.0
BC07_27,2.327277706,0.0,4.608962984,8.46800925,6.127676717999999,8.848029576,8.108057354,5.339027355,0.0,1.3270750009999999,5.174849453,7.257334105,5.511612582000001,6.125623868,0.0,4.983058526000001,0.0,5.641233085,4.514588808,7.4693576639999995,0.0
