,MGP,CTTN,SSR4,NDUFC2,CLU,S100A11,NDUFS5,AGR2,MGST1,TFF3,SRP9,EGR1,DYNLT1,TXNDC17,MIF,MT1X,SOX4,PPFIA1,AZGP1,HLA-DRA,PSENEN,KRT19,CD9,HLA-B,TM4SF1,KRT7,SCGB2A2,MT2A,S100A16,ERGIC3,KRTCAP2,PPAPDC1B,UQCRQ,EFNA1,ARF4,CD24P4,PPA1,CD63,POLR2K,ATRAID,CD46,group
BC02_19,9.145767717,6.709828592999999,5.368309738,6.645597992999999,2.762538386,5.856875452000001,4.392471893,5.395852342,2.8524391039999997,3.4660483539999998,4.10643781,0.148420005,5.104186352,3.754667195,4.95152203,3.9841576030000003,4.6499523289999996,6.3256126560000006,3.458207636,6.0256485589999995,5.150397236,4.979075825,2.5649493569999997,5.578785984,0.0,0.0,3.1917101569999997,2.63188884,1.583093937,0.0,2.352327185,5.414365565,4.945278661000001,0.336472237,5.304597605,0.0,5.443369637999999,2.505525937,0.0,3.845028137,4.135966237,2.0
BC02_22,10.97434162,5.567313437999999,5.458308102999999,5.919887984,7.5192584710000006,5.560835465,0.0,6.324143885,6.65314686,0.0,1.345472367,3.2359295789999996,0.0,0.0,5.421419564,0.0,0.173953307,5.644103239,1.669591835,0.6729444729999999,6.237269381,3.983226764,0.0,4.093010339,0.0,4.918373796,2.316487998,6.033397924,4.700843936,1.004301609,5.84892124,5.43581588,7.788240579,0.31481074,5.0729839189999995,0.0,0.0,0.832909123,6.524325598,0.0,0.0,2.0
BC02_24,10.49622196,7.444768982,7.738684182,6.946090985,6.875469662,4.062509839,3.8582001989999997,7.046238142999999,4.086312391,0.576613364,6.448050435,6.275364476,6.28426475,2.9118070389999997,6.93880811,6.8267079,5.698267294,6.672437927000001,6.876677322999999,7.218433404,7.0542078329999995,6.4990649760000005,5.263984687,6.44972765,0.625938431,0.0,1.264126727,7.428148982000001,6.427281024,4.7487509139999995,6.374496571,3.2176751039999996,6.572883761,5.397212024,4.263243098999999,0.0,0.0,5.096017567,5.949313545,0.0,6.332266682,2.0
BC02_25,4.44453184,9.011353924,7.074810902,6.648012575,8.76395639,6.491254501,1.1184149159999999,4.148359151,7.3236458529999995,3.407841924,4.536462988,4.141546164,0.0,0.0,3.1574258630000003,0.0,0.9439058990000001,6.987213199999999,3.6506582410000004,0.44468582100000004,6.446354539,6.73386607,5.4446230689999995,2.252343877,8.508880739,0.0,3.887525374,3.85925494,6.010139087000001,0.8109302159999999,4.872828107,6.662174382999999,0.0,0.0,6.354213507000001,0.0,4.118549251,5.723487058,5.1715062000000005,3.269188639,6.495235344,2.0
BC02_34,8.040427551,6.731841151,6.169213163999999,5.648234528,5.908028589,6.341293611,2.9359822689999997,0.0,6.290976371,0.0,4.512396786,6.638607055,4.514150788,0.0,3.712840092,0.0,6.875831081,4.784654388,5.52469568,0.0,5.430791951000001,5.855014614,1.8931119630000002,5.5644054579999995,0.609765572,5.042586055,7.675388217,5.736249665,0.0,5.1721870889999995,4.497250844,7.1968738189999995,6.105574177,0.0,1.187843422,0.0,5.119011259,5.397030839,0.615185639,0.0,5.306880597,2.0
BC02_47,9.886615517000001,7.678182894,6.68473672,7.919167082,7.7435905510000005,2.633326655,6.349313801,4.873057631,7.268327618,0.0,4.618283825,7.267239274,0.506817602,0.0,6.924228842000001,0.940007258,4.671613143,5.5637921729999995,6.050087166,0.26236426399999996,3.8975183189999996,5.949860997,4.270955399,5.889487191000001,0.343589704,3.8541820060000003,0.806475866,5.926365869,3.4372078189999997,0.0,0.0,6.549922522,6.03207852,3.0272309410000005,3.239462458,0.0,0.26236426399999996,0.90016135,0.0,6.282995453,3.1406980439999996,2.0
BC02_59,2.421256623,8.001093685,1.4158531630000002,7.783199016,7.287396468,6.556281072999999,3.096934154,6.629085804,8.080404585,0.0,0.0,2.77570885,0.774727168,3.779862102,5.528237902000001,1.332366019,5.540164902999999,6.562698299,2.6511270540000003,0.0,6.754615754,6.17528498,1.373715579,4.542443356000001,0.0,3.2176751039999996,9.301415232,4.8810579789999995,0.0,4.155126033999999,6.560323202,7.203122743,2.189416395,0.0,5.511895312999999,0.0,6.5817758,4.49669371,0.0,5.40483721,6.37973263,2.0
BC02_61,9.735840201,7.552295029,6.778193141,6.868827323,6.337834072000001,0.792992516,0.0,7.562914986,6.231819135,0.0,6.131509058,7.829415569,5.625172074,0.0,6.721353409,3.524004811,4.835646785,6.042395276000001,7.074565487999999,0.0,6.994932476000001,6.999285597,4.913316432,3.4547381489999998,6.1119107,0.0,9.3938121,4.039888376,0.0,0.0,3.29694736,4.571613402,5.239893446,0.0,0.277631737,2.31944221,4.565077092,5.514557142,4.892302107,6.131530791,5.010501952,2.0
BC02_70,10.05891185,5.8319118020000005,7.117246054,7.046777818,7.233635907999999,6.819350204,6.271800956,8.216906682000001,6.163441112,5.9569766170000005,0.0,7.037818163,0.0,4.591578232,6.409220479,0.0,4.789656066,3.590715205,6.731364103,7.340660442000001,6.016010808,1.353254507,2.8853592160000003,5.896301856,1.8931119630000002,0.0,1.220829921,5.044263475,0.0,6.704683926,0.0,5.654487183,0.412109651,0.0,2.041220329,5.437426922,0.0,6.035385734,6.645818922999999,4.926818808,6.036461813,2.0
BC02_75,10.58227259,7.333767835,6.778921407,7.598725091,7.136554805,5.137972543,6.991645957999999,4.57037168,6.133549875,0.0,3.8088822469999997,3.57037741,6.058912893,4.295242505,5.981893894,0.0,6.691065855,6.187565727000001,7.039511347,4.707546253,6.765638566,6.832492794,4.022132228,7.0136096729999995,6.740034608999999,5.0337005669999995,4.990092393,7.632711156,4.829433111,3.220474546,5.93914441,6.78741648,6.236584831,0.570979547,5.729840009,0.0,5.130904126,6.18315871,2.438862711,5.804411816,2.882003508,2.0
BC02_76,8.980084085,7.6981017629999995,7.578886885,7.821145809,6.294970755,6.008026635,6.678015017000001,5.2085567589999995,7.736848435,4.983401121,6.34109977,6.49411686,7.542526246,2.1994443340000003,6.515260689,4.661266925,4.955263519,5.60374112,7.038739681,4.7168010019999995,6.982510185,6.079750112,6.389468557000001,5.358659596,0.207014169,0.0,0.0,6.441871152999999,5.08685532,3.222867846,6.263779142000001,5.291040958,7.5451730239999995,5.990614186,0.457424847,5.474872327999999,5.4982332320000005,0.0,6.515112611,1.905088155,6.243856172999999,2.0
BC02_94,7.711580313,8.063333741000001,0.609765572,7.128271382,7.64220274,6.800626534,5.243333058,0.940007258,2.839078464,5.701413003,6.467403652000001,6.452064727000001,1.6331544390000001,6.144614727,6.748560231,6.592373076,4.90408889,6.250071762999999,5.9221948520000005,0.0,2.6159349119999997,6.510005332,6.377661885,0.0,0.0,6.657677229,10.38823785,5.929988,5.893327877000001,0.0,6.891778324,5.21199666,5.563562094,1.541159072,6.418870517999999,5.3125160860000005,4.474491862,0.0,4.900448335,5.386145077,4.189048498,2.0
BC02_95,6.6979720789999995,8.210325581000001,2.599722324,6.973393196,4.9956570110000005,7.0344496020000005,5.8877693110000004,0.0,0.0,7.475905968999999,3.864931398,8.028807237999999,5.710294557999999,0.0,6.496020558,0.0,4.67851358,6.799245365,5.618587628999999,0.0,5.154331516,3.565581238,4.835805603,6.292161557000001,7.192731192999999,2.5664866369999997,0.0,5.229931454,0.0,0.0,5.721360407000001,6.4229384739999995,3.5686872689999998,6.8487905289999995,5.968477354,0.0,4.058890081,6.26126265,0.0,3.533978493,0.0,2.0
