,MGP,PIP,SCGB2A2,MUCL1,GSTP1,HLA-DRA,CD74,LDHB,TFF3,SLPI,APOD,PPP1R1B,PPP1R14C,IFITM2,S100P,RN7SL56P,SEPP1,AGR2,MRPL45,TFF1,RBP1,PLEKHA5,CEACAM6,SNCG,MIEN1,TM4SF1,MT1G,MGST1,RP11-658F2.8,AGR3,HLA-B,GSTM3,HLA-A,MDK,CLU,ARHGDIB,ORMDL3,TMEM45A,TCEAL1,CISD3,AZGP1,group
BC01_72,0.0,0.0,0.0,2.6720775409999997,0.797507196,0.0,0.0,7.172455275,0.0,4.940355881,0.0,0.0,0.207014169,0.722705983,0.0,0.0,4.444884056,0.0,4.229894749,2.5225235130000003,0.0,0.0,0.0,0.0,5.051073215,1.345472367,5.65588691,6.579751087000001,2.532108251,0.0,0.620576488,5.236601525,0.0,0.0,8.170392196,0.0,0.0,0.23111172100000002,0.38526240100000003,4.356452384,6.0667807179999995,1.0
BC01_77,0.0,0.0,0.0,0.0,0.732367894,0.0,3.4229588730000002,6.958400864,0.0,4.788074906,0.0,0.0,0.182321557,4.411342689,0.0,0.0,6.312968167999999,3.203559121,4.573989069,5.823134649,0.0,2.036011984,0.0,0.0,3.175132902,0.678033543,6.528630206,6.81949221,3.58240721,0.0,3.497718949,2.965788397,3.416414347,0.0,6.147506295,0.0,1.4655675419999998,0.0,3.77459833,3.266522478,6.3929551,1.0
BC01_87,0.0,0.0,0.0,0.0,0.620576488,0.0,0.6729444729999999,6.873184537999999,0.0,2.193885676,0.0,0.0,0.0,1.004301609,0.463734016,0.0,6.063971238,2.894253105,0.0,4.492449316,0.0,1.247032294,0.0,0.0,3.8615714619999997,1.888583654,7.259685987,7.380754417,5.117694366,0.0,0.647103242,4.635699391,1.848454813,0.0,6.633002594,0.0,0.0,0.0,0.0,1.631199404,5.0908625999999995,1.0
BC01_95,0.0,0.0,0.0,0.0,0.717839793,0.0,0.0,7.278276912999999,1.8931119630000002,5.033895988,0.0,0.0,0.0,0.0,0.0,0.0,5.684191825,3.95162826,3.5849068639999997,2.945491057,0.0,0.0,0.0,0.0,5.296966454,0.9439058990000001,6.183365079,5.982474255,1.45395301,0.0,2.674148649,5.059107948,2.251291799,0.0,6.5517515379999995,0.0,0.0,0.0,4.3262496189999995,2.946016681,4.555874894,1.0
BC04_01,0.0,0.0,0.0,3.975373321,6.154475855,7.316847136,6.848917809,6.586033714,7.169942605,0.0,0.0,5.147203737,0.0,0.0,5.238938843,5.834489047999999,1.754403683,4.812915795,4.459450532,2.323367632,5.14417502,0.576613364,6.91138867,3.693120448,7.374572587,6.467186172000001,5.8103622470000005,6.010948496,3.078233495,0.0,7.252294887000001,0.0,6.441584296,5.800848687,3.4968105460000003,1.115141591,5.725935279,0.0,3.907814161,5.065817683,3.9235562410000004,1.0
BC04_07,0.9593502209999999,0.0,0.0,5.288519524,7.000571442,6.60154257,4.76609785,5.97013876,8.512250998999999,5.0344820210000005,0.0,6.086774727000001,4.629277261,4.247637732,6.237894845,4.53249196,0.0,7.118356502999999,4.699843799999999,0.0,3.650398467,5.265329191,6.819404823999999,0.0,7.61989103,4.7541934569999995,4.421968242,3.925925911,1.211940974,0.0,7.086453613,0.0,7.110875699,5.623295224,5.370917059,0.0,5.696254207999999,0.0,0.0,0.862889955,4.869762735,1.0
BC04_09,0.0,0.0,0.0,3.3541057739999998,1.16315081,6.604404422999999,7.661814099,6.033302026,7.161365957999999,6.5169767929999995,0.0,5.283406754,5.066637484,4.930075786000001,6.1653338170000005,4.792893792,0.688134639,5.632465476,4.473921899,3.0754672419999998,5.052416828,4.986479204,5.513952802,0.0,6.669256944,6.425371329,4.325456283,4.861671141,0.0,0.0,6.470675657,0.0,5.1893392039999995,0.0,0.837247525,5.756469797,5.453396187,0.0,5.151150576,2.602689685,0.0,1.0
BC04_13,0.0,0.0,0.0,2.406945108,4.9382796319999995,6.79651082,6.312605573,7.360364753,5.445918071,3.851635855,0.0,7.062953981000001,5.193290129,4.376134308999999,5.130135373,4.446408894,1.7227665980000002,5.22224593,5.442763971000001,0.0,3.750209709,3.998934377,4.761147767,0.0,6.967466543,5.927432564,5.153233789,5.5678863839999995,0.0,0.0,6.5832709000000005,0.0,6.2618542139999995,4.7463224660000005,2.2617630980000003,0.0,4.28537806,4.220389668999999,0.0,0.26236426399999996,6.430767316,1.0
BC04_20,5.3574820999999995,0.0,0.0,2.693951277,6.383743093,8.266303244,7.989275663,6.763700134,5.742778803999999,4.971339911,0.0,2.901421594,4.968145242,0.0,5.887075781,5.257547454,3.5016458530000003,6.7024148079999994,4.301087692,4.906533245,1.646733697,5.174226981,6.560422277000001,0.0,6.567965546,8.147684822,0.0,4.719123676000001,3.824065727,4.561427263,7.003438117000001,0.993251773,6.7882620320000004,6.089384954,6.78216938,3.9689702860000002,5.069847154,0.0,0.0,0.0,0.620576488,1.0
BC04_23,2.557227311,0.0,0.0,3.288401888,5.477676205,5.7233890039999995,6.155961519,6.976441437,7.939326362,5.2990171219999995,2.669309373,6.537024875,1.808288771,0.0,6.565025505,0.0,3.321071337,6.765373407999999,4.970091039,4.03653888,3.654029177,0.470003629,7.429746337,0.0,7.309727627999999,5.331316845,5.58818455,2.60046499,0.0,0.0,5.853953819,2.6966521560000003,6.255039617,1.0715836159999999,4.234686047,4.2914178860000005,4.116758157,2.599722324,5.185372608,0.0,5.905634291,1.0
BC04_24,4.492673155,0.0,0.0,0.0,6.347651872,3.288774952,4.845210185,6.504707247000001,8.130556707,3.4118075610000003,4.082777926,6.291643211,2.197224577,3.952204795,6.765223504,0.0,2.3437270359999998,6.637074527999999,4.894850261,0.0,0.0,5.242223092,8.473500413,0.0,6.784117639,7.34561013,4.37109207,6.107468223,0.0,4.348599108999999,6.590987626,0.0,6.281369148,4.210348238,0.6626879729999999,0.0,4.952229043,0.0,0.0,0.0,5.840379995,1.0
BC04_27,3.478467017,0.0,0.996948635,0.0,5.605029709,5.9302803939999995,6.128875903,5.873440857,7.509631112999999,5.592664677,0.0,5.57070812,0.207014169,0.0,6.143842228,3.886089623,1.9459101490000001,5.6416942820000004,5.13444458,0.90016135,3.7927889180000003,4.117898315,7.255110932999999,0.0,6.5579566389999995,6.401237032,5.1967828560000005,0.0,5.398660315,0.0,6.848631405,0.0,5.976985226,5.170597625,1.848454813,0.0,4.214938459,0.182321557,2.364620484,0.0,4.109068958,1.0
BC04_29,6.712895445,0.0,0.0,0.0,4.682871694,7.3218761510000006,6.949156306,6.289066009,7.218653263999999,6.509514016000001,2.306577114,5.237292665,3.487680842,0.0,6.587949384,0.0,0.0,5.385457902000001,4.663722073,2.615203651,4.95342982,3.2669037939999996,7.414114945,0.0,6.122558597,6.686197969,4.75625904,3.269949095,0.0,0.0,6.77145434,0.0,6.761422295,5.144699878,1.101940079,3.2936121710000004,5.009167551,0.0,0.0,0.0,0.0,1.0
BC04_31,5.361151311,0.0,0.0,2.9846713260000004,0.0,2.855895328,4.683519152,5.628555928,7.235460627,6.502280171000001,0.0,6.5783480260000005,0.0,0.0,7.406303847,0.0,0.0,7.513076205,5.257755755,1.6174060819999998,2.539236994,4.36462612,7.512054852,4.654150808,6.792119935,5.3492005769999995,0.0,5.5554757960000005,0.26236426399999996,5.16706908,6.693707732999999,0.0,6.877172353,0.0,0.0,1.026041596,5.113793386,0.0,0.0,0.0,0.463734016,1.0
BC04_32,0.0,0.0,1.050821625,0.0,5.926659324,6.073436162,6.629891515,7.277717554,8.592456496,5.647212122999999,0.0,5.089939267,3.3741687089999997,0.0,5.971822907000001,0.0,0.837247525,7.764678099,3.84310156,4.411099882,4.812346944,2.8701690510000004,6.925192365,4.521353700000001,7.656129009,7.250394177,0.0,5.241111893,0.0,0.0,5.560950826,0.652325186,6.0954641370000004,5.088151737,2.064327904,0.792992516,4.140432666000001,5.6596215789999995,0.0,3.4236109760000004,5.218624598,1.0
BC04_33,0.0,0.0,0.0,0.0,5.014627315,7.536993074,7.6590204129999995,5.576668541,6.732174949,5.5246558089999995,0.0,4.706462437,5.563715486,5.4640436470000004,5.685788211,4.888542987,0.0,6.799891633,4.390118805,0.0,4.839055834,4.377642036,6.800047566,0.0,6.31673138,6.935915045,5.030176449,5.914961401,0.0,1.1537315879999999,6.9979067210000006,0.0,7.020369422999999,5.566128309,5.240052458,0.985816795,5.588034866,0.0,4.481079801,0.0,1.9960599330000002,1.0
BC04_36,0.0,0.0,0.0,0.0,2.97603964,3.5951180739999997,3.3185401480000003,7.249165305,8.743821862999999,6.093118201,0.0,6.8440270960000005,0.0,0.0,7.298384207000001,3.114847754,3.305787197,6.477679805,4.845917871,2.414126468,0.0,3.8379458019999997,6.828647134,0.0,6.8571669989999995,4.245347436,3.1846983730000002,2.2343062519999997,0.198850859,0.0,6.562825377,0.0,6.2462811689999995,3.8885496489999998,4.836757984,1.0331844829999999,4.556400022,0.0,0.0,3.697839195,0.0,1.0
BC04_37,4.9122136119999995,0.0,0.0,2.32238772,5.872258625,6.004849567000001,6.3055816160000004,6.399775602,8.145787423,6.730695852999999,0.0,5.710062712999999,0.741937345,0.0,5.492114493,0.0,0.0,6.025576077,6.219913997000001,1.190887565,5.196948872,0.936093359,7.8993798029999995,2.907447359,7.743815952,4.935049307,4.100160948,7.386842527000001,0.0,0.0,6.843675319,1.58514522,6.974095301,3.783507583,5.7220152429999995,1.111857515,5.009434574,4.387884444,0.0,0.0,6.009893683,1.0
BC04_39,0.0,0.0,0.0,6.649321281000001,3.163785859,6.078284238999999,5.020585625,5.554353961,6.662838911000001,4.45190245,0.0,6.130204227999999,4.129228964,1.771556762,5.212922863999999,3.4170707310000004,2.9134370310000004,6.662762257000001,4.653388758,3.1081677030000003,1.187843422,3.137231836,5.814070828999999,0.0,6.771775176,7.588521126,4.766268106,6.723038857000001,5.401415325,0.0,6.545335292000001,3.5757107560000003,5.768164734,4.031049712,5.104550562,4.879691028,3.986759352,0.104360015,2.846071499,1.366091654,5.790541042,1.0
BC04_40,5.642048905,0.0,0.0,0.0,0.0,3.4741380060000004,6.051288849,6.932145407,6.031286041,3.0426158589999996,0.0,4.839293241,0.0,3.028683374,6.752609103999999,0.0,1.10856262,6.471944359,3.97274174,2.076938411,3.211246798,1.558144618,6.557559301,0.0,6.111578197999999,4.703657133,5.0023342689999994,1.526056303,0.0,0.0,6.993354826,1.1216775620000001,6.157720236,3.251923679,1.075002423,0.741937345,5.236601525,0.122217633,0.7654678420000001,0.0,3.7232808810000004,1.0
BC04_41,0.0,0.0,0.0,0.0,1.974081026,6.752655816,5.466117327,3.53921868,6.777817422,5.936612296,0.0,4.999506936,0.0,0.0,4.945918979,2.337952237,3.4882920889999998,5.829269095,0.512823626,4.3855205239999995,4.897391938,1.193922468,4.12341781,0.0,5.615024117999999,6.844964563,6.98492926,0.0,1.993338843,2.373043557,6.56327708,0.0,6.384519635,0.0,0.300104592,2.80819715,3.495598057,0.207014169,0.0,0.0,0.0,1.0
