,IGKC,MS4A1,CD74,LRMP,IGJ,FCER1G,CCL4,TRBC2,HLA-DRA,CD83,CD52,IGHG1,CCL3,CD63,RGS2,CD69,RGS1,IFITM2,S100A4,GPR183,group
BC07LN_81,8.932061946000001,8.554149805,8.995182351,6.143906625,6.245971097000001,0.0,6.0408497720000005,7.256163145,8.781810301,7.313080377,8.682210896,4.2277092739999995,0.0,5.483509797999999,8.427522281,8.989815887999999,8.568245557000001,3.8288587639999996,5.884185526,6.791749413,1.0
BC07LN_83,0.0,7.077962081,8.087581896,3.3998631589999997,0.0,0.0,0.0,4.610257225,8.035826041,5.854899988,6.687544922000001,0.0,0.693147181,0.920282753,7.46466455,7.295897882,7.48251299,5.423406977000001,0.0,6.642186887,1.0
BC07LN_84,8.270727276,7.591836487999999,8.897232452,5.969372301,5.091293197,0.0,4.352082758,3.041661205,9.209209733,7.6123318939999995,7.539872442999999,4.679628097,0.0,2.9166890660000004,8.379860297,7.948282842999999,7.015730373999999,4.601664047,0.0,7.042670713,1.0
BC07LN_89,0.783901544,7.263070299,7.704636152999999,0.0,0.0,0.0,0.0,0.0,8.246585846,7.2390642089999995,7.820977307000001,0.0,0.0,6.394259427000001,5.747703662,6.076150305,8.175949992,6.052912359,3.2729851510000003,6.469622341,1.0
BC07LN_90,0.0,3.4741380060000004,7.0223064310000005,7.1053266310000005,0.0,0.0,0.8109302159999999,8.106354672,6.884681106,1.6351056590000002,6.181051315,0.38526240100000003,0.0,0.0,3.9954446139999997,2.054123734,4.803611125,7.290217846,5.008098746,2.79239135,1.0
BC07LN_94,7.048151803,3.959478947,8.118945972,5.818657582999999,0.683096845,0.0,0.7654678420000001,7.378864547,8.065126922000001,4.03158224,7.4138376710000005,0.371563556,0.0,4.883483508,7.339803894,6.559615237,5.456260845,5.093995569,5.167012066,6.269569656,1.0
BC07LN_96,1.105256831,7.964277407999999,9.269947064,4.419803999,6.016669224,0.0,0.0,6.30043711,9.148580919,7.802037593,9.46379972,2.573375298,0.0,0.0,7.960906356000001,8.936966119,8.640023026,5.535994787999999,5.334842141,7.797295382000001,1.0
BC03_03,6.185838185,1.719188776,3.49892887,2.107786015,0.0,6.944154707999999,0.0,0.0,2.733067964,0.329303747,2.149433913,1.93874166,0.0,0.0,6.969320635,7.017228327000001,1.391281903,6.790771922999999,0.0,7.093994153,1.0
BC03_06,8.375170997,7.62098936,9.539076332,6.1595815279999995,7.637682697000001,0.0,0.0,1.492904096,9.126009398999999,6.551822916,8.182975611,4.440531364,0.0,5.409321925,1.101940079,6.473381307,0.924258902,5.93492065,0.0,0.0,1.0
BC03_24,1.098612289,7.389539247,8.314322745,8.007766589,6.992289423,0.0,0.0,1.1537315879999999,8.930761381,5.663585285,5.359976747,5.906750529,0.0,0.0,0.920282753,5.358471289,1.068153081,0.854415328,0.0,0.565313809,1.0
BC03_25,6.375518735,1.1184149159999999,1.85629799,1.902107526,0.270027137,0.75612198,0.947789399,4.849918661,2.0175661380000003,0.693147181,6.872335334,1.08180517,0.542324291,3.589887505,5.981565715,1.766441661,0.9593502209999999,6.823362288999999,5.803084676,0.570979547,1.0
BC03_28,8.400005229,7.238274115,8.064636476,5.932536922000001,4.427477898,0.0,0.0,0.451075619,8.397127302000001,6.835378116,4.185098925,6.661419863,5.32120347,1.45395301,6.201502595,5.314633531,7.667714956,0.0,0.0,2.7093826460000003,1.0
BC03_50,0.0,0.378436436,8.199225092,5.432454825,0.0,0.0,0.0,7.422128602000001,6.991084887,0.21511138,7.380636015,0.0,0.0,5.635682062000001,1.2383742309999999,4.7722088860000005,5.873862745,6.632752484,6.550623087999999,0.0,1.0
BC03_53,7.693982882999999,2.494856981,6.789444604,5.168037824,3.5689691569999997,0.0,0.0,0.44468582100000004,8.703598067,4.792313433,6.840439572,0.0,3.8865000480000003,0.0,8.534150598,3.87660306,6.678593655,0.0,0.0,0.0,1.0
BC03_57,0.636576829,0.270027137,2.4723278680000003,2.506341931,0.783901544,0.0,0.0,0.652325186,2.835563521,0.996948635,1.962907725,5.65280492,0.0,0.48242614899999997,6.977626431,1.853168097,1.4516138269999999,1.711994501,0.0,0.5007752879999999,1.0
BC03_58,2.670694415,0.38526240100000003,7.889541574,4.2000550169999995,1.16315081,0.0,0.0,7.622218647,7.843609394,0.39877612,6.559346079,1.6714733030000002,0.0,2.9601050960000004,3.083743151,6.006796411,6.5820666889999995,6.018301201,6.293844327,3.907211448,1.0
BC03_60,9.475722386000001,5.164328727,8.20223036,6.3636658310000005,7.75727353,0.0,0.0,0.0,8.901809125,7.212729477000001,6.174639906,1.286474026,0.0,0.0,3.497113438,5.816992105,1.83736998,1.4747630090000001,0.0,0.875468737,1.0
